row_key,case_id,pool,engine,current_status,last_retained_evidence_path,source_sql_path,generated_sql_path,source_result_path,generated_result_path,observed_diff_summary,frontier_classification,is_recovery_allowed_under_current_route,recovery_risk_level,candidate_repair_family,why_this_is_or_is_not_methodology_drift,expected_exact_recovery_potential
PORT_0025:pg,PORT_0025,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0025/source.sql,,,,Source contains mysql-like DATE_FORMAT and retained pg route does not preserve same-engine validity,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current pg same-engine route would be methodology drift,0
PORT_0003:mysql,PORT_0003,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0003/source.sql,,,,Source is postgres-like candidate rather than mysql same-engine source,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current mysql same-engine route would be methodology drift,0
PORT_0003:spark,PORT_0003,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0003/source.sql,,,,Source is postgres-like candidate rather than spark same-engine source,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0004:mysql,PORT_0004,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0004/source.sql,,,,Source is mysql-like but retained blocker is parser front-end or deeper support not bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0004:spark,PORT_0004,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0004/source.sql,,,,Source is mysql-like rather than spark same-engine source,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0005:mysql,PORT_0005,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0005/source.sql,,,,Source is postgres-like candidate rather than mysql same-engine source,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current mysql same-engine route would be methodology drift,0
PORT_0005:spark,PORT_0005,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0005/source.sql,,,,Source is postgres-like candidate rather than spark same-engine source,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0008:mysql,PORT_0008,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0008/source.sql,,,,Source uses pg style casts and is not mysql same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current mysql same-engine route would be methodology drift,0
PORT_0008:spark,PORT_0008,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0008/source.sql,,,,Source uses pg style casts and is not spark same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0012:mysql,PORT_0012,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0012/source.sql,,,,Source uses pg TO_CHAR style constructs and is not mysql same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current mysql same-engine route would be methodology drift,0
PORT_0012:spark,PORT_0012,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0012/source.sql,,,,Source uses pg TO_CHAR style constructs and is not spark same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0013:mysql,PORT_0013,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0013/source.sql,,,,Source is mysql-like but retained blocker is parser front-end or deeper support not bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0013:spark,PORT_0013,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0013/source.sql,,,,Source contains mysql-style backticks and is not spark same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0022:mysql,PORT_0022,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0022/source.sql,,,,Source is mysql-like but retained blocker is parser front-end or deeper support not bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0022:spark,PORT_0022,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0022/source.sql,,,,Source contains mysql-like DATE_FORMAT and is not spark same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
PORT_0025:mysql,PORT_0025,PORT,mysql,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0025/source.sql,,,,Source is mysql-like but retained blocker is parser front-end or deeper support not bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0025:spark,PORT_0025,PORT,spark,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0025/source.sql,,,,Source contains mysql-like DATE_FORMAT and is not spark same-engine evidence,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current spark same-engine route would be methodology drift,0
