repair_row_id,case_id,pool,engine,denominator_id,route_id,repaired_sql_artifact,execution_attempted,execution_success,exact_match,result_check_artifact,execution_error_artifact,failure_category,failure_detail,notes
direct_llm_repair_011,PORT_0008,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/mysql/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0008/mysql/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_011.execution.stderr.log,execution_failed,not_checked_execution_failed,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_012,PORT_0008,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0008/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_012.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark ParseException; portability stress row
direct_llm_repair_013,PORT_0012,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/mysql/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0012/mysql/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_013.execution.stderr.log,execution_failed,not_checked_execution_failed,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_014,PORT_0012,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0012/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_014.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark ParseException; portability stress row
direct_llm_repair_015,PORT_0013,portability,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/pg/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0013/pg/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_015.execution.stderr.log,execution_failed,not_checked_execution_failed,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_016,PORT_0013,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0013/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_016.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark ParseException; generation watchlist row; portability stress row
direct_llm_repair_017,PORT_0022,portability,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/pg/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0022/pg/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_017.execution.stderr.log,execution_failed,not_checked_execution_failed,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_018,PORT_0022,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0022/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_018.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark ParseException; portability stress row
direct_llm_repair_019,PORT_0024,portability,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/pg/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0024/pg/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_019.execution.stderr.log,execution_failed,not_checked_execution_failed,MySQL-style backticks in PostgreSQL; portability stress row
direct_llm_repair_020,PORT_0025,portability,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/pg/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0025/pg/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_020.execution.stderr.log,execution_failed,not_checked_execution_failed,dialect-incompatible syntax in PostgreSQL; portability stress row
direct_llm_repair_021,PORT_0025,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0025/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_021.execution.stderr.log,execution_failed,not_checked_execution_failed,unsupported Spark datatype DATETIME; portability stress row
