nl_slot,vector_slot,rule_name,primary_source_path,primary_source_ref_hint,secondary_source_ref_hint
10,10,can_be_optimized_by_set_op,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/10.py
11,11,can_be_optimized_by_right_join,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/11.py
12,12,can_be_optimized_by_inner_join_on,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/12.py
13,13,can_be_optimized_by_tight_index_scan,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/13.py
14,14,can_be_optimized_by_filter_first_group_by_last,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/14.py
15,15,can_be_optimized_by_group_by_first,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/15.py
16,16,can_be_optimized_by_limit,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/16.py
17,17,can_be_optimized_by_cte_filter_first_group_by_last,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/17.py
18,18,can_be_optimized_by_distinct,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/18.py
19,19,can_be_optimized_by_function,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/19.py
20,20,can_be_optimized_by_order_by_index,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/20.py
21,21,can_be_optimized_by_null,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/21.py
22,22,can_be_optimized_by_window_order_over,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/22.py
23,23,can_be_optimized_by_multiple_table_scan,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/23.py
24,24,can_be_optimized_by_non_deterministic_function,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/24.py
25,25,can_be_optimized_by_constant_folding,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/25.py
26,26,can_be_optimized_by_out_of_range,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/26.py
27,27,can_be_optimized_by_index_min_max,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/27.py
28,28,can_be_optimized_by_condition_pushdown,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/28.py
29,29,can_be_optimized_by_subquery_to_exists,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/29.py
