calcite_slot,vector_slot,rule_name,canonical_order_basis,java_rule_map,java_source_line,structured_jsonl_line,selected_simple_line,status
43,73,PROJECT_CORRELATE_TRANSPOSE,selected_simple,EXPLORE_RULES,112,2,44,recovered_from_java
44,74,PROJECT_FILTER_TRANSPOSE,selected_simple,EXPLORE_RULES,113,51,45,recovered_from_java
45,75,PROJECT_FILTER_VALUES_MERGE,selected_simple,NORMAL_RULES,96,29,46,recovered_from_java
46,76,PROJECT_JOIN_JOIN_REMOVE,selected_simple,NORMAL_RULES,84,52,47,recovered_from_java
47,77,PROJECT_JOIN_REMOVE,selected_simple,NORMAL_RULES,85,38,48,recovered_from_java
48,78,PROJECT_JOIN_TRANSPOSE,selected_simple,EXPLORE_RULES,115,62,49,recovered_from_java
49,79,PROJECT_MERGE,selected_simple,NORMAL_RULES,78,58,50,recovered_from_java
50,80,PROJECT_REDUCE_EXPRESSIONS,selected_simple,NORMAL_RULES,79,48,51,recovered_from_java
51,81,PROJECT_REMOVE,selected_simple,NORMAL_RULES,80,46,52,recovered_from_java
52,82,PROJECT_SET_OP_TRANSPOSE,selected_simple,EXPLORE_RULES,116,60,53,recovered_from_java
53,83,PROJECT_SUB_QUERY_TO_CORRELATE,selected_simple,NORMAL_RULES,81,19,54,recovered_from_java
54,84,PROJECT_TO_LOGICAL_PROJECT_AND_WINDOW,selected_simple,EXPLORE_RULES,114,27,55,recovered_from_java
55,85,PROJECT_VALUES_MERGE,selected_simple,NORMAL_RULES,95,25,56,recovered_from_java
56,86,PROJECT_WINDOW_TRANSPOSE,selected_simple,EXPLORE_RULES,117,11,57,recovered_from_java
57,87,SEMI_JOIN_FILTER_TRANSPOSE,selected_simple,EXPLORE_RULES,131,64,58,recovered_from_java
58,88,SEMI_JOIN_JOIN_TRANSPOSE,selected_simple,EXPLORE_RULES,133,23,59,recovered_from_java
59,89,SEMI_JOIN_PROJECT_TRANSPOSE,selected_simple,EXPLORE_RULES,132,31,60,recovered_from_java
60,90,SORT_JOIN_TRANSPOSE,selected_simple,EXPLORE_RULES,134,36,61,recovered_from_java
61,91,SORT_PROJECT_TRANSPOSE,selected_simple,EXPLORE_RULES,135,59,62,recovered_from_java
62,92,SORT_REMOVE,selected_simple,NORMAL_RULES,89,35,63,recovered_from_java
63,93,SORT_REMOVE_CONSTANT_KEYS,selected_simple,NORMAL_RULES,90,8,64,recovered_from_java
64,94,SORT_UNION_TRANSPOSE,selected_simple,EXPLORE_RULES,136,17,65,recovered_from_java
65,95,SORT_UNION_TRANSPOSE_MATCH_NULL_FETCH,selected_simple,EXPLORE_RULES,137,1,66,recovered_from_java
66,96,UNION_PULL_UP_CONSTANTS,selected_simple,NORMAL_RULES,92,33,67,recovered_from_java
67,97,UNION_REMOVE,selected_simple,NORMAL_RULES,91,26,68,recovered_from_java
68,98,UNION_TO_DISTINCT,selected_simple,EXPLORE_RULES,138,32,69,recovered_from_java
69,99,WINDOW_REDUCE_EXPRESSIONS,selected_simple,NORMAL_RULES,97,49,70,recovered_from_java
