row_key,case_id,pool,engine,row_status,failure_category,failure_reason,blocker_reason,unsupported_reason,generated_sql_exists,prompt_exists,raw_response_exists,selected_rules_exists,retrieval_trace_exists,token_cost_provider_exists,environment_snapshot_exists,row_metadata_exists,artifact_contract_status_ok,generated_sql_empty,markdown_contaminated,non_sql,ddl_or_dml,multi_statement,statement_count,execution_candidate
PERF_0013:spark,PERF_0013,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0017:pg,PERF_0017,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0017:mysql,PERF_0017,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0017:spark,PERF_0017,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0019:pg,PERF_0019,performance,pg,failed,subprocess_nonzero_exit,smoke subprocess exited with code 1,,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0019:mysql,PERF_0019,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0019:spark,PERF_0019,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0024:pg,PERF_0024,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0024:mysql,PERF_0024,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0024:spark,PERF_0024,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0033:pg,PERF_0033,performance,pg,failed,subprocess_nonzero_exit,smoke subprocess exited with code 1,,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0033:mysql,PERF_0033,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0033:spark,PERF_0033,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0034:pg,PERF_0034,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0034:mysql,PERF_0034,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0034:spark,PERF_0034,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0035:pg,PERF_0035,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0035:mysql,PERF_0035,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0035:spark,PERF_0035,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0052:pg,PERF_0052,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0052:mysql,PERF_0052,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0052:spark,PERF_0052,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0054:pg,PERF_0054,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0054:mysql,PERF_0054,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0054:spark,PERF_0054,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0056:pg,PERF_0056,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0056:mysql,PERF_0056,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0056:spark,PERF_0056,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0062:pg,PERF_0062,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0062:mysql,PERF_0062,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0062:spark,PERF_0062,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0077:pg,PERF_0077,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0077:mysql,PERF_0077,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0077:spark,PERF_0077,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0082:pg,PERF_0082,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0082:mysql,PERF_0082,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0082:spark,PERF_0082,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0005:pg,CONS_0005,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0005:mysql,CONS_0005,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0005:spark,CONS_0005,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0007:pg,CONS_0007,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0007:mysql,CONS_0007,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0007:spark,CONS_0007,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0009:pg,CONS_0009,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0009:mysql,CONS_0009,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0009:spark,CONS_0009,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0010:pg,CONS_0010,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0010:mysql,CONS_0010,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0010:spark,CONS_0010,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0011:pg,CONS_0011,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0011:mysql,CONS_0011,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0011:spark,CONS_0011,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0012:pg,CONS_0012,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0012:mysql,CONS_0012,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0012:spark,CONS_0012,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0024:pg,CONS_0024,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0024:mysql,CONS_0024,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0024:spark,CONS_0024,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0036:pg,CONS_0036,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0036:mysql,CONS_0036,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0036:spark,CONS_0036,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0037:pg,CONS_0037,consistency,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0037:mysql,CONS_0037,consistency,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
CONS_0037:spark,CONS_0037,consistency,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0003:pg,PORT_0003,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0003:mysql,PORT_0003,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0003:spark,PORT_0003,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0004:pg,PORT_0004,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0004:mysql,PORT_0004,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0004:spark,PORT_0004,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0005:pg,PORT_0005,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0005:mysql,PORT_0005,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0005:spark,PORT_0005,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0008:pg,PORT_0008,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0008:mysql,PORT_0008,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0008:spark,PORT_0008,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0012:pg,PORT_0012,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0012:mysql,PORT_0012,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0012:spark,PORT_0012,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0013:pg,PORT_0013,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0013:mysql,PORT_0013,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0013:spark,PORT_0013,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0022:pg,PORT_0022,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0022:mysql,PORT_0022,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0022:spark,PORT_0022,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0024:pg,PORT_0024,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0024:mysql,PORT_0024,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0024:spark,PORT_0024,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0025:pg,PORT_0025,portability,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0025:mysql,PORT_0025,portability,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PORT_0025:spark,PORT_0025,portability,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0011:pg,LONGTAIL_0011,longtail,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0011:mysql,LONGTAIL_0011,longtail,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0011:spark,LONGTAIL_0011,longtail,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0012:pg,LONGTAIL_0012,longtail,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0012:mysql,LONGTAIL_0012,longtail,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0012:spark,LONGTAIL_0012,longtail,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0013:pg,LONGTAIL_0013,longtail,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0013:mysql,LONGTAIL_0013,longtail,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0013:spark,LONGTAIL_0013,longtail,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0022:pg,LONGTAIL_0022,longtail,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0022:mysql,LONGTAIL_0022,longtail,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0022:spark,LONGTAIL_0022,longtail,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
LONGTAIL_0023:pg,LONGTAIL_0023,longtail,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
