candidate_id,case_id,pool,engine,method_id,route_id,outcome_type_hint,retained_speedup,source_node_count,rewrite_node_count,node_count_delta,planning_time_delta_ms,execution_time_delta_ms,shared_blks_read_delta,shared_blks_hit_delta,row_estimate_error_delta,scan_strategy_delta,join_strategy_delta,aggregate_strategy_delta,sort_or_materialize_delta,main_plan_delta_class,heuristic_node_alignment_pairs,heuristic_node_alignment_coverage,attribution_confidence,paper_safe_interpretation,forbidden_overclaim,evidence_artifacts,notes
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg,LONGTAIL_0011,longtail,pg,sqlglot,sqlglot_optimize_same_dialect,regression,0.8731691196039685,12,13,1,-0.068,-0.008,0,0,0,"CTE Scan,Seq Scan -> CTE Scan,Seq Scan,Subquery Scan",no_change,no_change,no_change,scan_strategy_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Source and rewrite use different scan operators or scan families; this is plausible selected-case attribution evidence but not denominator-wide proof.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg,LONGTAIL_0022,longtail,pg,sqlglot,sqlglot_optimize_same_dialect,speedup,1.0906880745186456,11,11,0,-0.011,-0.014,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg,PERF_0082,performance,pg,sqlglot,sqlglot_optimize_same_dialect,neutral,1.0146345130890408,14,14,0,-0.079,0.053,0,0,0,no_change,"Hash Join,Nested Loop -> Hash Join",no_change,Materialize -> none,join_strategy_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan,0.800,medium,Source and rewrite use different join operators; this gives medium-strength selected-case attribution only when direction also matches runtime/buffer movement.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg,CONS_0010,consistency,pg,sqlglot,sqlglot_optimize_same_dialect,neutral,1.017071044036722,5,5,0,-0.003,-0.005,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;join:join;materialize:materialize;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg,CONS_0037,consistency,pg,sqlglot,sqlglot_optimize_same_dialect,regression,0.912978361937061,7,7,0,-0.003,0.075,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg,PERF_0007,performance,pg,calcite_hep,calcite_hep_fail_closed_120,regression,0.656673938818,2,2,0,-0.007,0.002,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg,CONS_0011,consistency,pg,calcite_hep,calcite_hep_fail_closed_120,speedup,1.29704731001,5,5,0,-0.012,-0.014,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;join:join;materialize:materialize;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg,LONGTAIL_0013,longtail,pg,calcite_hep,calcite_hep_fail_closed_120,neutral,0.999412588321,31,32,1,0.207,0.015,0,20,0,no_change,no_change,no_change,no_change,node_count_change,root:root;aggregate:aggregate;join:join;materialize:materialize;other:other;scan:scan;sort:sort,1.000,medium,Major node count differs while operator families are similar; this suggests structural plan simplification or expansion for this row only.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg,PERF_0013,performance,pg,calcite_hep,calcite_hep_fail_closed_120,neutral,0.999279423532,15,15,0,0.019,-0.007,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg,PERF_0054,performance,pg,calcite_hep,calcite_hep_fail_closed_120,regression,0.763486079732,11,11,0,0.004,0.005,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg,PERF_0024,performance,pg,calcite_hep,calcite_hep_fail_closed_120,speedup,1.29194888694,13,13,0,0.168,-0.008,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;materialize:materialize;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
