candidate_id,case_id,pool,engine,method_id,route_id,outcome_type_hint,plan_side,plan_artifact,normalized_tags,tag_families_present,plan_parse_success,feature_parse_success,root_node_type,node_count,scan_node_count,join_node_count,aggregate_node_count,sort_node_count,materialize_node_count,planning_time_ms,execution_time_ms,total_actual_time_root_ms,total_shared_blks_hit,total_shared_blks_read,total_shared_blks_dirtied,total_shared_blks_written,root_plan_rows,root_actual_rows,root_total_cost,max_row_estimate_error_node_type,max_row_estimate_error_ratio,main_operator_families,scan_types,join_types,aggregate_types,sort_types,materialize_types
direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,CONS_0012,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:limit_fetch_gap|rewrite_opportunity:primary:order_limit_simplification|rewrite_opportunity:secondary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,3,2,0,0,1,0,0.333,0.155,0.14,13,0,0,0,205,2,8777.850000000000364,Seq Scan,102.5,"scan,sort",Seq Scan,,,Limit,
direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,CONS_0012,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:limit_fetch_gap|rewrite_opportunity:primary:order_limit_simplification|rewrite_opportunity:secondary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,3,2,0,0,1,0,0.376,0.07,0.025,13,0,0,0,205,2,8777.850000000000364,Seq Scan,102.5,"scan,sort",Seq Scan,,,Limit,
direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg,CONS_0036,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|rewrite_opportunity:primary:aggregation_rewrite|rewrite_opportunity:secondary:predicate_pushdown,plan_operator|rewrite_opportunity,true,true,Aggregate,2,1,0,1,0,0,0.247,0.079,0.023,2,0,0,0,1,1,19.27,Seq Scan,2,"scan,aggregate",Seq Scan,,Aggregate,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg,CONS_0036,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|rewrite_opportunity:primary:aggregation_rewrite|rewrite_opportunity:secondary:predicate_pushdown,plan_operator|rewrite_opportunity,true,true,Aggregate,2,1,0,1,0,0,0.247,0.077,0.019,2,0,0,0,1,1,19.27,Seq Scan,2,"scan,aggregate",Seq Scan,,Aggregate,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,CONS_0037,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,regression,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|rewrite_opportunity:primary:aggregation_rewrite|sql_feature:primary:outer_join,plan_operator|rewrite_opportunity|sql_feature,true,true,Aggregate,7,2,1,1,3,0,0.34,0.116,0.066,16,0,0,0,200,2,684.669999999999959,Incremental Sort,2599,"scan,join,aggregate,sort",Seq Scan,Merge Join,Aggregate,"Incremental Sort,Sort",
direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,CONS_0037,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,regression,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|rewrite_opportunity:primary:aggregation_rewrite|sql_feature:primary:outer_join,plan_operator|rewrite_opportunity|sql_feature,true,true,Aggregate,7,2,1,1,3,0,0.352,0.107,0.056,16,0,0,0,200,2,684.669999999999959,Incremental Sort,2599,"scan,join,aggregate,sort",Seq Scan,Merge Join,Aggregate,"Incremental Sort,Sort",
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg,LONGTAIL_0011,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:expression_simplification|rewrite_opportunity:secondary:cte_strategy|sql_feature:primary:cte|sql_feature:primary:window_function|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,12,4,2,1,2,0,0.464,0.197,0.125,18,0,0,0,1,3,49,Seq Scan,635,"scan,join,aggregate,sort,other","CTE Scan,Seq Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg,LONGTAIL_0011,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:expression_simplification|rewrite_opportunity:secondary:cte_strategy|sql_feature:primary:cte|sql_feature:primary:window_function|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,12,4,2,1,2,0,0.444,0.18,0.112,18,0,0,0,1,3,49,Seq Scan,635,"scan,join,aggregate,sort,other","CTE Scan,Seq Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg,LONGTAIL_0012,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:materialization_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:subquery_in_from|sql_feature:primary:window_function|sql_feature:secondary:expression_complexity|sql_feature:secondary:outer_join|workload_realism:case_specific:complex_expression_density|workload_realism:case_specific:result_size_sensitivity|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Limit,15,4,2,2,4,0,0.637,0.275,0.126,60,0,0,0,10,3,338.079999999999984,Seq Scan,680,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,"Incremental Sort,Limit,Sort",
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg,LONGTAIL_0012,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:materialization_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:subquery_in_from|sql_feature:primary:window_function|sql_feature:secondary:expression_complexity|sql_feature:secondary:outer_join|workload_realism:case_specific:complex_expression_density|workload_realism:case_specific:result_size_sensitivity|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Limit,15,4,2,2,4,0,0.521,0.235,0.112,60,0,0,0,10,3,338.079999999999984,Seq Scan,680,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,"Incremental Sort,Limit,Sort",
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg,LONGTAIL_0013,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|sql_feature:primary:window_function|sql_feature:secondary:expression_complexity|sql_feature:secondary:outer_join|workload_realism:case_specific:complex_expression_density|workload_realism:case_specific:high_join_count|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,31,9,7,2,10,2,0.756,0.323,0.161,101,0,0,0,387,2,1410.410000000000082,Incremental Sort,4080,"scan,join,aggregate,sort,materialize,other","Seq Scan,Subquery Scan","Merge Join,Nested Loop",Aggregate,"Incremental Sort,Sort",Materialize
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg,LONGTAIL_0013,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|sql_feature:primary:window_function|sql_feature:secondary:expression_complexity|sql_feature:secondary:outer_join|workload_realism:case_specific:complex_expression_density|workload_realism:case_specific:high_join_count|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,31,9,7,2,10,2,0.797,0.337,0.168,101,0,0,0,387,2,1410.410000000000082,Incremental Sort,4080,"scan,join,aggregate,sort,materialize,other","Seq Scan,Subquery Scan","Merge Join,Nested Loop",Aggregate,"Incremental Sort,Sort",Materialize
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg,LONGTAIL_0022,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|sql_feature:primary:outer_join|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:manual_gap_fill_realism|workload_realism:source_inherited:realistic_query_style,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,11,4,2,1,2,0,0.464,0.151,0.081,23,0,0,0,2407,3,362.079999999999984,Sort,802.333333333333371,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg,LONGTAIL_0022,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|sql_feature:primary:outer_join|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:manual_gap_fill_realism|workload_realism:source_inherited:realistic_query_style,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,11,4,2,1,2,0,0.413,0.132,0.072,23,0,0,0,2407,3,362.079999999999984,Sort,802.333333333333371,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg,LONGTAIL_0024,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:suspected:datetime_semantics_gap|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:manual_gap_fill_realism|workload_realism:source_inherited:realistic_query_style,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,8,3,1,1,2,0,0.401,0.123,0.072,19,0,0,0,379,3,127.890000000000001,Seq Scan,226,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg,LONGTAIL_0024,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:suspected:datetime_semantics_gap|rewrite_opportunity:primary:cte_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:cte|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:manual_gap_fill_realism|workload_realism:source_inherited:realistic_query_style,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,8,3,1,1,2,0,0.392,0.138,0.068,19,0,0,0,379,3,127.890000000000001,Seq Scan,226,"scan,join,aggregate,sort,other","Seq Scan,Subquery Scan",Hash Join,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg,PERF_0006,performance,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|plan_operator:present:sort|portability:suspected:datetime_semantics_gap|portability:suspected:type_semantics_gap|rewrite_opportunity:primary:predicate_pushdown|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:date_time_function|sql_feature:secondary:expression_complexity|workload_realism:source_inherited:classic_analytical_baseline,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,3,1,0,1,1,0,0.501,0.124,0.076,6,0,0,0,150,2,36.369999999999997,Seq Scan,75.666666666666671,"scan,aggregate,sort",Seq Scan,,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg,PERF_0006,performance,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|plan_operator:present:sort|portability:suspected:datetime_semantics_gap|portability:suspected:type_semantics_gap|rewrite_opportunity:primary:predicate_pushdown|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:date_time_function|sql_feature:secondary:expression_complexity|workload_realism:source_inherited:classic_analytical_baseline,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Sort,3,1,0,1,1,0,0.361,0.108,0.066,6,0,0,0,150,2,36.369999999999997,Seq Scan,75.666666666666671,"scan,aggregate,sort",Seq Scan,,Aggregate,Sort,
direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg,PERF_0007,performance,pg,direct_llm,direct_llm_same_engine_rewrite,regression,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|portability:suspected:datetime_semantics_gap|portability:suspected:type_semantics_gap|rewrite_opportunity:primary:predicate_pushdown|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:date_time_function|workload_realism:source_inherited:classic_analytical_baseline,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Aggregate,2,1,0,1,0,0,0.25,0.081,0.027,2,0,0,0,1,1,31.170000000000002,Seq Scan,2,"scan,aggregate",Seq Scan,,Aggregate,,
direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg,PERF_0007,performance,pg,direct_llm,direct_llm_same_engine_rewrite,regression,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:scan|portability:suspected:datetime_semantics_gap|portability:suspected:type_semantics_gap|rewrite_opportunity:primary:predicate_pushdown|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:date_time_function|workload_realism:source_inherited:classic_analytical_baseline,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Aggregate,2,1,0,1,0,0,0.186,0.057,0.018,2,0,0,0,1,1,31.170000000000002,Seq Scan,2,"scan,aggregate",Seq Scan,,Aggregate,,
