script_or_command_id,script_path,script_type,track,method_or_route,engine_scope,denominator_id,purpose,inputs,outputs,does_run_db,does_call_llm,does_call_verifier,does_compute_metrics,metrics_computed,source_artifact_or_reference,status,notes
sqlglot_checker_backfill,reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/checker_event_long.csv|reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/checker_command_matrix.csv,checker_runner,Track A same-engine,sqlglot_optimize_same_dialect;sqlglot_transpile_same_dialect_noop,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120,Backfill retained SQLGlot result checks and exact denominators before per-case timing.,SQLGlot generated SQL; case source/result artifacts; checker command matrix,checker_event_long.csv; sqlglot_result_check_backfill_summary_v1.csv; timing denominator after backfill,yes,no,no,yes,exact_rows_after_backfill; checker_failed; mismatch; executable rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_event_long_v1.csv,retained_partial,DB/checker-capable runner not run; retained event artifacts support recompute of counts.
sqlglot_timing,reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/run_manual_sqlglot_full_per_case_timing.sh,timing_runner,Track A same-engine,sqlglot_optimize_same_dialect;sqlglot_transpile_same_dialect_noop,same_engine_pg_mysql_spark,sqlglot_optimize_same_dialect_exact63_timing;sqlglot_transpile_same_dialect_noop_exact72_timing,Collect route-separated SQLGlot timing on exact rows after checker backfill.,timing_command_matrix.csv; exact SQLGlot rows; case source/rewrite/schema/witness,timing_event_long.csv; timing_summary.csv; table6 rows,yes,no,no,yes,timing_success_rows; gm_speedup; median_speedup; W/T/L; regression_rate_20pct,runs/sqlglot_full_per_case_timing_01/timing_summary.csv; table6_performance_on_exact_timed_rows_v4.csv,retained_exact,Summary formulas retained in CSV/artifacts; full script internals are shell/manual.
calcite_hep_generation,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_manual_calcite_hep_pg40_generation.sh|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/run_manual_calcite_hep_mysql_spark_rewrite_expansion_80.sh,execution_runner,Track A same-engine,calcite_hep_fail_closed_120,pg_mysql_spark,common_core_v0_40_same_engine_120,Generate Calcite HEP route outputs and fail closed on unsupported/failed rows.,case source SQL; Calcite wrapper source/JVM route artifacts; rewrite command matrices,run_event_long.csv; rewrite outputs; calcite result cards,no,no,no,yes,generated_or_ready_rows; generation_failed; parse_failed; unsupported,scripts/cli.py Calcite HEP command family; reports/evaluation/common_core_v0/runs/calcite_hep_*,retained_partial,Wrapper/runtime hash not fully frozen in inspected artifact layer.
calcite_hep_execution,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_manual_calcite_hep_pg40_execution.sh|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_manual_calcite_hep_mysql_spark_execution_expansion_60.sh,execution_runner,Track A same-engine,calcite_hep_fail_closed_120,pg_mysql_spark,common_core_v0_40_same_engine_120,Execute Calcite HEP outputs and retain exact/non-exact failure accounting.,Calcite HEP generated SQL; case schema/witness/source; execution_command_matrix.csv,run_event_long.csv; calcite validity summaries; method candidate rejection accounting,yes,no,no,yes,executed_rows; exact_match_rows; execution_failed; mismatch; unsupported,candidate_failure_accounting_v1.csv; table3_same_engine_method_evidence_v3.csv,retained_partial,Execution-capable scripts retained but not run.
calcite_hep_timing,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/run_manual_calcite_hep_93_exact_timing.sh,timing_runner,Track A same-engine,calcite_hep_fail_closed_120,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,Collect correctness-gated timing for 93 exact Calcite HEP rows.,timing_command_matrix.csv; exact93 route outputs; case source/rewrite/schema/witness,timing_event_long.csv; timing_summary.csv; calcite_hep_93_exact_timing_result_card_v1.csv; table6 row,yes,no,no,yes,timing_success_rows; gm_speedup; median_speedup; W/T/L; regression_rate_20pct,runs/calcite_hep_93_exact_timing_01/timing_summary.csv,retained_exact,Ready for arithmetic recompute from retained timing_event_long.
r_bot_generation_execution_timing,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/run_manual_r_bot_pg40_generation_expansion.sh|reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/run_manual_r_bot_pg15_execution.sh|reports/evaluation/common_core_v0/runs/r_bot_pg15_timing_expansion_02/run_manual_r_bot_pg15_timing.sh,execution_runner,Appendix bounded prior methods,r_bot_same_engine_rewrite,bounded_pg_only_plus_mixed_scope_120_generation,common_core_v0_40_same_engine_120_and_pg_scoped_subsets,Retain bounded R-Bot generation/execution/timing evidence under a runtime lock.,R-Bot formal substrate/runtime lock; generation/execution/timing command matrices; selected PG subset,run_results.json; r_bot result cards; speedup slices,yes,yes,no,yes,planned/generated/executed/exact on bounded slices; PG15 timing; gm_speedup; regression_rate_20pct,r_bot_formal_runtime_lock_01/*; r_bot_pg15_speedup_summary_v2.csv; table11_bounded_pilot_evidence_reuse_v3.csv,retained_partial,Not a denominator-complete Track A row; some model/retrieval steps are bounded and mixed scope.
llm_r2_original_recovered,scripts/cli.py formal-llmr2-* commands|reports/evaluation/common_core_v0/runs/llm_r2_*,execution_runner,Appendix bounded prior methods,llm_r2_original_route_bounded_pg9;llm_r2_recovered_extraction_route_v1,bounded_pg_only,common_core_v0_llm_r2_pg_supported_9,Retain LLM-R2 original/recovered extraction bounded route audits and canary/dry-run/PG execution packets.,LLM-R2 audit repo under /tmp when executed; schema stubs; bounded candidate slices; recovered extraction artifacts,llm_r2 audit CSV/MD; run directories; bounded evidence reconciliation,yes,no,no,partial,bounded planned/generated/executed/exact; logical-plan/extraction failure categories,llm_r2_pg9_bounded_evidence_reconciliation_v1.csv; llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv; candidate_failure_accounting_v1.csv,retained_partial,No single exact runner entrypoint retained for a full common_core_v0_40_same_engine_120 route.
learnedrewrite_bounded_appendix,scripts/cli.py formal-learnedrewrite-* commands|reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md,unknown_or_unclassified,Appendix bounded prior methods,learnedrewrite,bounded_pg_only,prior_method_pg10,Document bounded LearnedRewrite evidence and missing runnable same-engine route/checkpoint stack.,historical PG10 bounded artifacts; LearnedRewrite preflight/readiness artifacts,prior_methods_pg10_bounded_appendix_v1.md; learnedrewrite_120_preflight_v1.md,yes,no,no,partial,bounded generated/executed/exact; source_like/noop count; partial speedup summary,prior_methods_pg10_bounded_appendix_v1.md; route_metadata_manifest_v1.csv,missing_or_not_retained,Runnability and timing-array retention are not sufficient for full independent recompute.
taxonomy_coverage_aggregation,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/*.csv,aggregation_script,taxonomy,taxonomy_coverage,case_level,common_core_v0_40,Aggregate retained normalized case taxonomy tags by axis and pool.,tag_coverage_common_core40_v1.csv; taxonomy/*.yaml definitions by reference; case tag matrix,common_core_v0_taxonomy_coverage_v1.csv; common_core_v0_taxonomy_by_pool_v1.csv; common_core_v0_case_tag_matrix_v1.csv,no,no,no,yes,distinct_tags_covered; cases_with_at_least_one_tag; primary/secondary counts; confirmed/suspected portability counts,table_regeneration_commands_v1.md notes no dedicated command retained,inferred_from_artifact,"Aggregated values retained, generator not retained."
candidate_failure_accounting_aggregation,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,aggregation_script,failure accounting,method_candidate_failure_accounting,same_engine_pg_mysql_spark_plus_bounded,mixed,Aggregate method-generated candidate failure buckets separate from package hard negatives.,table7_failure_accounting_matrix_v3.csv; method_candidate_rejection_accounting_v1.csv; table3_same_engine_method_evidence_v3.csv,candidate_failure_accounting_v1.csv; candidate_failure_accounting_v1.md,no,no,no,yes,non_exact_frontier; generation_failed; parse_failed; preflight_blocked; unsupported; execution_failed; mismatch; noop_or_source_like; timing_missing,candidate_failure_accounting_v1.csv,inferred_from_artifact,No dedicated regeneration command retained.
speedup_slice_aggregation,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/method_timing_case_level_v1.csv,aggregation_script,timing observability,speedup_slice_summary,same_engine_pg_mysql_spark_plus_bounded,timing_success_*,Summarize route timing slices from retained table6 and per-case timing rows.,table6_performance_on_exact_timed_rows_v4.csv; timing_event_long packets; method_timing_case_level_v1.csv,speedup_slice_summary_v1.csv; speedup_slice_summary_v1.md,no,no,no,yes,timing_denominator; gm_speedup; median_speedup; W/T/L; regression_rate_20pct,speedup_slice_summary_v1.csv,retained_partial,Some rows trace to per-case timing arrays; some appendix rows are route-summary only.
selected_plan_observability,reports/evaluation/common_core_v0/runs/selected_plan_observability_01/run_selected_plan_observability.py|reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/run_pg_plan_attribution_113.py,plan_runner,plan observability,selected_pg_frontier;pg_plan_attribution_113,pg_selected_frontier,selected_frontier_not_full_120,Select retained exact timed/failure exemplars and collect/aggregate selected PostgreSQL plan delta features.,timing_event_long packets; table10_failure_exemplar_selection_v1.csv; tag-aware candidate pool; case PG source/rewrite/schema/witness,selected_plan_observability_frontier_v1.csv; table10_plan_attribution_case_study_v6.csv; pg_plan_attribution_113_*,yes,no,no,yes,PlanAvailability selected only; feature/route tag coverage; selected AttributionCoverage status,run_selected_plan_observability.py; run_pg_plan_attribution_113.py,retained_exact,Selected PG frontier only; full NodeAlignmentCoverage is unsupported/not retained.
port_bounded_closure_readiness,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/port_bounded_route_closure_v1.csv|speedup_transfer_readiness_v1.csv,aggregation_script,Track C portability,bounded_PORT6;SpeedupTransferRate readiness,pg_mysql_spark_bounded_port_packet,port_bounded_6,Map bounded PORT route closure and explicitly mark SpeedupTransferRate as not computable from retained timing artifacts.,table8_port_cross_engine_translation_v1.csv; PORT artifact maps,port_bounded_route_closure_v1.csv; speedup_transfer_readiness_v1.csv,no,no,no,yes,cross_engine_executable_rate; cross_engine_consistency_rate; SpeedupTransferRate readiness/blocker,12_PORT_VERIFIER_ARTIFACT_MAP_V1/*.csv,retained_partial,No PORT9/full registry experiment and no paired target-engine timing arrays retained.
verifier_support_aggregation,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/verifier_support_pair_ledger_v1.csv,aggregation_script,verifier support,SQLSolver;VeriEQL,support_pairs,support_pairs_4_smoke;bounded_canary_cons_0035_pairs_2,Map verifier/support pair evidence separate from rewrite methods and speedup baselines.,table9_verifier_support_v1.csv; verifier_support_artifact_audit_v1.csv,verifier_support_pair_ledger_v1.csv; verifier support MD,no,no,yes,yes,VerifierSupportRate; prove/refute/unknown/timeout where retained,verifier_support_pair_ledger_v1.csv; table9_verifier_support_v1.csv,retained_partial,Support layer only; not a rewrite baseline. SQLSolver verdict split incomplete.
section8_values_patch,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_existing_values_patch_v1.csv|section8_artifact_source_map_v1.csv,report_render_script,Section 8,paper_facing_table_values,all,mixed,Map current Section 8 table values/placeholders to retained artifacts without editing prose.,paper-facing freeze tables; missing data ledger; source map,section8_existing_values_patch_v1.csv; section8_missing_data_ledger_v1.csv; section8_artifact_source_map_v1.csv,no,no,no,partial,none/new; maps retained values and gaps,08_SECTION8_EVIDENCE_FREEZE_V1/*,retained_exact,No final Section 8 render command retained; artifact map functions as trace layer.
reproducibility_manifest,reports/evaluation/common_core_v0/14_REPRODUCIBILITY_MANIFEST_V1/route_metadata_manifest_v1.csv|table_regeneration_commands_v1.md,manifest_script,reproducibility,route_metadata;regeneration_commands,all,mixed,"Retain route metadata, command availability, missing reproducibility items, and environment manifest.",existing run/result/artifact tree,route_metadata_manifest_v1.csv; reproducibility_environment_manifest_v1.csv; table_regeneration_commands_v1.md; reproducibility_missing_items_v1.csv,no,no,no,no,none,14_REPRODUCIBILITY_MANIFEST_V1/*,retained_exact,Primary source for which commands are retained vs artifact-only.
