metric_name,metric_family,formula_or_logic,denominator,numerator,eligibility_filter,computed_in_code_path,computed_in_function_or_section,input_artifacts,output_artifacts,paper_tables_supported,track,route_scope,status,notes
hard_negative_tested,guardrail,Count runnable/tested package hard-negative rows where source and negative were executable/tested; retained summary reports 111.,hard_negative_planned,tested_negative_rows / rows with checker/runnable rejection evidence,runnable true and tested; excludes not_applicable/blocked cells,run_package_hard_negative_closure.py,event emission and summary_row tested_negative_rows,hard_negative_event_long.csv; package_hard_negative_closure_event_long_v1.csv,package_hard_negative_closure_summary_v1.csv; hard_negative_guardrail_ledger_v1.csv,Table 13,guardrail,package hard negatives,retained_exact,No DB rerun required to recompute count from retained event_long.
hard_negative_not_applicable,guardrail,Count planned hard-negative cells marked blocked/not_applicable; retained summary reports 9.,hard_negative_planned,rows with expected_outcome/block_reason not_applicable or blocked,planned package hard-negative rows,run_package_hard_negative_closure.py,negative_info(); expected_outcome not_applicable; summary blocked_rows,package_hard_negative_denominator_v1.csv; package_hard_negative_closure_event_long_v1.csv,hard_negative_guardrail_ledger_v1.csv; package_hard_negative_closure_summary_v1.csv,Table 13,guardrail,package hard negatives,retained_exact,Not-applicable rows stay visible in denominator.
executable_semantic_rejection,guardrail,Count tested rows rejected because executable source and negative results differ under retained checker policy; retained normalized mode executable_semantic_mismatch/mismatch_rejected = 111.,tested_negative_rows,rows rejected_by_checker yes and false_accept no,negative_applicable yes; negative_executed yes; checker ran or retained rejection evidence,run_package_hard_negative_closure.py; artifact normalization in hard_negative_guardrail_ledger_v1.csv,accepted false -> rejection_status rejected; rejection_category mismatch_rejected,package_hard_negative_closure_event_long_v1.csv; hard_negative_guardrail_ledger_v1.csv,hard_negative_guardrail_ledger_v1.csv; package_hard_negative_closure_summary_v1.csv,Table 13,guardrail,package hard negatives,retained_exact,"Semantic rejection is guardrail evidence, not candidate failure accounting."
hard_negative_false_accept,guardrail,hard_negative_false_accept_rate = false_accept_rows / tested_negative_rows; retained value 0/111 = 0.0000.,tested_negative_rows,false_accept_rows where negative accepted as equivalent,tested hard-negative rows,run_package_hard_negative_closure.py,"if accepted then false_accept true; format_rate(false_accept_rows,tested_negative_rows)",package_hard_negative_closure_event_long_v1.csv; package_hard_negative_false_accept_audit_v1.csv; hard_negative_guardrail_ledger_v1.csv,package_hard_negative_closure_summary_v1.csv; Table 13,Table 13,guardrail,package hard negatives,retained_exact,Required metric present; ready for independent recomputation from retained event_long.
taxonomy distinct tags by axis,taxonomy,"For each axis, count distinct normalized retained tags in the Common-core 40 tag matrix.",case_denominator=40 by axis,distinct tag values for axis,normalized retained tags only,not retained as generator; artifact-only aggregation,common_core_v0_taxonomy_coverage_v1 distinct_tags_covered,tag_coverage_common_core40_v1.csv; common_core_v0_case_tag_matrix_v1.csv,common_core_v0_taxonomy_coverage_v1.csv,Table 9,taxonomy,all common-core cases,retained_partial,Round 15B should recompute from tag matrix and taxonomy YAML definitions.
taxonomy cases covered by axis,taxonomy,"For each axis, count cases with at least one retained tag on that axis over 40 cases.",40 common-core cases,cases_with_at_least_one_tag,case has normalized axis tag,artifact-only aggregation,common_core_v0_taxonomy_coverage_v1 cases_with_at_least_one_tag,common_core_v0_case_tag_matrix_v1.csv; tag_coverage_common_core40_v1.csv,common_core_v0_taxonomy_coverage_v1.csv; common_core_v0_taxonomy_by_pool_v1.csv,"Tables 9, 10",taxonomy,all common-core cases,retained_partial,No dedicated regeneration command retained.
primary_vs_secondary tag count,taxonomy,Count distinct or retained primary/secondary tags by axis as stored in coverage CSV columns primary_tag_count and secondary_tag_count.,tags per axis; case denominator 40 for coverage context,primary_tag_count; secondary_tag_count,axes with primary/secondary distinction; plan/workload rows may use 0/NA semantics,artifact-only aggregation,common_core_v0_taxonomy_coverage_v1 columns,tag_coverage_common_core40_v1.csv; common_core_v0_taxonomy_coverage_v1.csv,common_core_v0_taxonomy_coverage_v1.csv,Table 9,taxonomy,all common-core cases,retained_partial,"Section 8 missing ledger flags this as resolved from artifact, but code generator is absent."
confirmed_vs_suspected portability count,taxonomy,"For portability axis, count confirmed_portability_tag_count and suspected_portability_tag_count from retained normalized tags.",portability axis tag set over 40-case denominator,confirmed and suspected portability tag counts,axis == portability,artifact-only aggregation,common_core_v0_taxonomy_coverage_v1 confirmed/suspected columns,tag_coverage_common_core40_v1.csv; common_core_v0_taxonomy_coverage_v1.csv,common_core_v0_taxonomy_coverage_v1.csv,Table 9,taxonomy,portability tags,retained_partial,Ready for recompute from retained tag matrix.
cross_engine_executable_rate,portability,cross_engine_executable_numerator / cross_engine_executable_denominator for bounded PORT6 route rows as retained in table8/port closure artifacts.,port_bounded_6,cross_engine_executable_numerator,bounded PORT6 only; target-engine execution closure artifacts retained,artifact-only aggregation,table8_port_cross_engine_translation_v1 columns; port_bounded_route_closure_v1 executed field,table8_port_cross_engine_translation_v1.csv; port_bounded_route_closure_v1.csv,port_bounded_route_closure_v1.csv; Table 17,Table 17,Track C portability,SQLGlot transpile; LLM Translate; bounded PORT packet,retained_partial,Bounded PORT6 only; not full PORT9.
cross_engine_consistency_rate,portability,cross_engine_consistency_numerator / cross_engine_consistency_denominator for bounded PORT6 route rows.,port_bounded_6,cross_engine_consistency_numerator,bounded target-engine executable/consistent rows as retained,artifact-only aggregation,table8_port_cross_engine_translation_v1; port_bounded_route_closure_v1 consistent field,table8_port_cross_engine_translation_v1.csv; port_bounded_route_closure_v1.csv,port_bounded_route_closure_v1.csv; Table 17,Table 17,Track C portability,SQLGlot transpile; LLM Translate; bounded PORT packet,retained_partial,Bounded PORT6 only; exact route identity for SQLGlot has UNKNOWN_NOT_RECOVERED in old table.
SpeedupTransferRate readiness,portability/timing,"Readiness flag, not computed metric: speedup_transfer_rate_computable == no if paired target-engine source/candidate timing arrays or repeated runtime summaries are missing.",port_bounded_6 readiness rows,rows with paired_benefit_ready/source_timing/candidate_timing all yes,requires paired target-engine timing arrays; not inferable from same-engine timing,artifact-only readiness ledger,speedup_transfer_readiness_v1 speedup_transfer_rate_computable/blocker columns,speedup_transfer_readiness_v1.csv; table8_port_cross_engine_translation_v1.csv,speedup_transfer_readiness_v1.csv; Table 17,Table 17,Track C portability,bounded PORT6,missing_or_not_retained,SpeedupTransferRate is not computed; blocked by missing paired target-engine timing.
VerifierSupportRate,verifier support,Support status/rate from retained verifier pair ledger; SQLSolver summary reports bounded 3/4 smoke support without clean prove/refute split; VeriEQL canary reports support on 2-pair set with verdict split.,support_pairs_4_smoke or bounded_canary_cons_0035_pairs_2,supported/prove/refute rows as retained,verifier/support pairs only; not rewrite candidates,artifact-only aggregation; scripts/cli.py formal-sqlsolver/verieql support commands exist,verifier_support_pair_ledger_v1 support_status/result/prove/refute columns,table9_verifier_support_v1.csv; verifier_support_artifact_audit_v1.csv; verifier_support_pair_ledger_v1.csv,verifier_support_pair_ledger_v1.csv; Table 18,Table 18,verifier support,SQLSolver;VeriEQL,retained_partial,"Verifier support is support-only, not a rewrite baseline or speedup method."
PlanAvailability / selected frontier only,plan observability,"For selected PG frontier rows, source_plan_available and rewrite_plan_available flags retained; count available selected pairs, not full denominator.",selected frontier rows,selected rows with source and rewrite plan artifacts available,selected PG plan frontier only,run_selected_plan_observability.py; run_pg_plan_attribution_113.py,selected case construction; feature extraction plan_parse_success fields,selected_plan_observability_frontier_v1.csv; table10_plan_attribution_case_study_v6.csv; pg_plan_attribution_113_event_long_v1.csv,selected_plan_observability_frontier_v1.csv; Table 16,Table 16,plan observability,selected PG frontier,retained_exact,Selected evidence only; do not generalize to full 120 rows.
NodeAlignmentCoverage status,plan observability,Status marker: full-denominator node alignment is unsupported/not computed unless a retained full-denominator node-alignment artifact exists.,full 120 would be required,not available,would require paired plan extraction/alignment over full denominator,not implemented for full denominator; selected plan extraction only,selected_plan_observability_frontier_v1 unsupported statement; method_comparison_summary node_alignment_coverage NA_not_computed,selected_plan_observability_frontier_v1.md; method_comparison_summary_v2.csv,Table 16/observability narrative artifacts,Table 16,plan observability,full denominator not supported,missing_or_not_retained,Required metric present as unsupported status; blocked_requires_experiment for full denominator.
AttributionCoverage status / selected frontier only,plan observability,Selected diagnostic attribution coverage is retained via delta_class/confidence for selected PG frontier; full attribution coverage is not computed.,selected frontier rows only,selected rows with delta_class/attribution_confidence,selected PG frontier and failure exemplar only,run_selected_plan_observability.py; run_pg_plan_attribution_113.py,main_delta_class; attribution_confidence; selected frontier construction,table10_plan_attribution_case_study_v6.csv; selected_plan_observability_frontier_v1.csv,selected_plan_observability_frontier_v1.csv; Table 16,Table 16,plan observability,selected PG frontier,retained_partial,"Selected-frontier attribution only, not denominator-wide causal attribution."
