case_id,case_path,current_provenance_style,provenance_fix,taxonomy_fix,rewrite_schema_fix,spark_manifest_fix,checker_fix,files_to_edit_later,files_to_archive_later,risk_level,recommended_batch
LONGTAIL_0013,cases/LONGTAIL/LONGTAIL_0013,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Add release-facing checker policy or checker artifact reference; preserve benchmark-controlled equality semantics.,cases/LONGTAIL/LONGTAIL_0013/manifest.yaml;cases/LONGTAIL/LONGTAIL_0013/validation/checker_policy_or_checker_artifact,,high,batch_1_checker_contract_gaps
LONGTAIL_0022,cases/LONGTAIL/LONGTAIL_0022,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/LONGTAIL/LONGTAIL_0022/manifest.yaml,,medium,batch_3_provenance_normalization
LONGTAIL_0023,cases/LONGTAIL/LONGTAIL_0023,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/LONGTAIL/LONGTAIL_0023/manifest.yaml,,medium,batch_3_provenance_normalization
LONGTAIL_0024,cases/LONGTAIL/LONGTAIL_0024,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/LONGTAIL/LONGTAIL_0024/manifest.yaml,,medium,batch_3_provenance_normalization
PERF_0006,cases/PERF/PERF_0006,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Declare existing Spark witness data, run_spark_validation.sh, and retained Spark plan artifacts in validation/plans blocks; add or explicitly waive missing Spark plan collection script.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0006/manifest.yaml;cases/PERF/PERF_0006/validation/run_spark_plan_collection.sh_or_manifest_waiver,cases/PERF/PERF_0006/taxonomy_trial_v0.2.yaml,medium,batch_1_spark_manifest_alignment
PERF_0007,cases/PERF/PERF_0007,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Declare existing Spark witness data, run_spark_validation.sh, and retained Spark plan artifacts in validation/plans blocks; add or explicitly waive missing Spark plan collection script.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0007/manifest.yaml;cases/PERF/PERF_0007/validation/run_spark_plan_collection.sh_or_manifest_waiver,cases/PERF/PERF_0007/taxonomy_trial_v0.2.yaml,medium,batch_1_spark_manifest_alignment
PERF_0008,cases/PERF/PERF_0008,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Declare existing Spark witness data, run_spark_validation.sh, and retained Spark plan artifacts in validation/plans blocks; add or explicitly waive missing Spark plan collection script.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0008/manifest.yaml;cases/PERF/PERF_0008/validation/run_spark_plan_collection.sh_or_manifest_waiver,cases/PERF/PERF_0008/taxonomy_trial_v0.2.yaml,medium,batch_1_spark_manifest_alignment
PERF_0013,cases/PERF/PERF_0013,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Declare existing Spark witness data, run_spark_validation.sh, and retained Spark plan artifacts in validation/plans blocks; add or explicitly waive missing Spark plan collection script.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0013/manifest.yaml;cases/PERF/PERF_0013/validation/run_spark_plan_collection.sh_or_manifest_waiver,cases/PERF/PERF_0013/taxonomy_trial_v0.2.yaml,medium,batch_1_spark_manifest_alignment
PERF_0017,cases/PERF/PERF_0017,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0017/manifest.yaml,cases/PERF/PERF_0017/taxonomy_trial_v0.2.yaml,low,batch_4_taxonomy_trial_archival
PERF_0019,cases/PERF/PERF_0019,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0019/manifest.yaml,cases/PERF/PERF_0019/taxonomy_trial_v0.2.yaml,low,batch_4_taxonomy_trial_archival
PERF_0024,cases/PERF/PERF_0024,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0024/manifest.yaml,cases/PERF/PERF_0024/taxonomy_trial_v0.2.yaml,medium,batch_3_provenance_normalization
PERF_0033,cases/PERF/PERF_0033,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0033/manifest.yaml,cases/PERF/PERF_0033/taxonomy_trial_v0.3.yaml,low,batch_4_taxonomy_trial_archival
PERF_0034,cases/PERF/PERF_0034,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0034/manifest.yaml,,low,batch_5_schema_polish
PERF_0035,cases/PERF/PERF_0035,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0035/manifest.yaml,,low,batch_5_schema_polish
PERF_0052,cases/PERF/PERF_0052,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0052/manifest.yaml,,low,batch_5_schema_polish
PERF_0054,cases/PERF/PERF_0054,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0054/manifest.yaml,cases/PERF/PERF_0054/taxonomy_trial_v0.3.yaml,low,batch_4_taxonomy_trial_archival
PERF_0056,cases/PERF/PERF_0056,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0056/manifest.yaml,,low,batch_5_schema_polish
PERF_0062,cases/PERF/PERF_0062,explicit_manifest_block_and_case_local_files,Retain existing top-level provenance block; normalize to release schema fields and ensure any case-local provenance files are linked.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0062/manifest.yaml,,low,batch_5_schema_polish
PERF_0077,cases/PERF/PERF_0077,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0077/manifest.yaml,,low,batch_3_provenance_normalization
PERF_0082,cases/PERF/PERF_0082,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PERF/PERF_0082/manifest.yaml,,low,batch_3_provenance_normalization
PORT_0003,cases/PORT/PORT_0003,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Represent multiple positive and hard-negative rewrites as positive_rewrites[] and hard_negatives[] entries with target_engine and dialect_variant metadata; map *_02_spark.sql entries to target_engine=spark.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0003/manifest.yaml,cases/PORT/PORT_0003/taxonomy_trial_v0.3.yaml,medium,batch_2_port_rewrite_array_schema
PORT_0004,cases/PORT/PORT_0004,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Represent multiple positive and hard-negative rewrites as positive_rewrites[] and hard_negatives[] entries with target_engine and dialect_variant metadata; map *_02_spark.sql entries to target_engine=spark.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0004/manifest.yaml,cases/PORT/PORT_0004/taxonomy_trial_v0.3.yaml,medium,batch_2_port_rewrite_array_schema
PORT_0005,cases/PORT/PORT_0005,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Represent multiple positive and hard-negative rewrites as positive_rewrites[] and hard_negatives[] entries with target_engine and dialect_variant metadata; map *_02_spark.sql entries to target_engine=spark.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0005/manifest.yaml,cases/PORT/PORT_0005/taxonomy_trial_v0.3.yaml,medium,batch_2_port_rewrite_array_schema
PORT_0008,cases/PORT/PORT_0008,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Add release-facing checker policy or checker artifact reference; preserve benchmark-controlled equality semantics.,cases/PORT/PORT_0008/manifest.yaml;cases/PORT/PORT_0008/validation/checker_policy_or_checker_artifact,,high,batch_1_checker_contract_gaps
PORT_0012,cases/PORT/PORT_0012,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0012/manifest.yaml,,medium,batch_3_provenance_normalization
PORT_0013,cases/PORT/PORT_0013,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Represent multiple positive and hard-negative rewrites as positive_rewrites[] and hard_negatives[] entries with target_engine and dialect_variant metadata; map *_02_spark.sql entries to target_engine=spark.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0013/manifest.yaml,,medium,batch_2_port_rewrite_array_schema
PORT_0022,cases/PORT/PORT_0022,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0022/manifest.yaml,,medium,batch_3_provenance_normalization
PORT_0024,cases/PORT/PORT_0024,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0024/manifest.yaml,,medium,batch_3_provenance_normalization
PORT_0025,cases/PORT/PORT_0025,source_fields_plus_case_local_files_no_manifest_block,Add top-level provenance block to manifest.yaml linking existing case-local provenance files and preserving source/source_* lineage fields.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/PORT/PORT_0025/manifest.yaml,,medium,batch_3_provenance_normalization
