case_id,pool,case_path,has_manifest,has_source_sql,num_positive_rewrites,num_hard_negatives,positive_files,negative_files,has_schema_data,has_checker,has_pg_validation,has_mysql_validation,has_spark_validation,has_pg_plan_artifacts,has_mysql_plan_artifacts,has_spark_plan_artifacts,has_spark_witness_data,has_run_spark_validation,has_spark_plan_collection,has_provenance_block,has_source_fields_in_manifest,has_provenance_files,provenance_style,has_taxonomy_tags,has_taxonomy_trial_file,taxonomy_file_paths,has_reporting_metadata,readme_status_conflict,manifest_status_conflict,contract_gaps,colleague_issue_1_status,colleague_issue_2_status,colleague_issue_3_status,colleague_issue_4_status,recommended_fix
LONGTAIL_0012,longtail,cases/LONGTAIL/LONGTAIL_0012,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0012/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0012/rewrite_neg_01.sql,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,missing_checker;no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
LONGTAIL_0013,longtail,cases/LONGTAIL/LONGTAIL_0013,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0013/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0013/rewrite_neg_01.sql,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,missing_checker;no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
LONGTAIL_0022,longtail,cases/LONGTAIL/LONGTAIL_0022,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0022/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0022/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,add top-level provenance block linking existing provenance files and source lineage
LONGTAIL_0023,longtail,cases/LONGTAIL/LONGTAIL_0023,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0023/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0023/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,add top-level provenance block linking existing provenance files and source lineage
LONGTAIL_0024,longtail,cases/LONGTAIL/LONGTAIL_0024,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0024/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0024/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,add top-level provenance block linking existing provenance files and source lineage
PERF_0006,performance,cases/PERF/PERF_0006,yes,yes,1,1,cases/PERF/PERF_0006/rewrite_pos_01.sql,cases/PERF/PERF_0006/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0006/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,not_detected,standalone_taxonomy_trial_file_needs_release_disposition;manifest_does_not_declare_spark_witness_data;manifest_does_not_declare_run_spark_validation;manifest_does_not_declare_spark_plan_artifacts,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,"partially_confirmed_missing_files_and_manifest_contract_gaps:spark_plan_collection_script,manifest_does_not_declare_spark_witness_data,manifest_does_not_declare_run_spark_validation,manifest_does_not_declare_spark_plan_artifacts","treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; declare existing Spark witness, validation, and plan artifacts in manifest.yaml; add missing Spark plan collection script or adjust release contract if retained plan artifacts are sufficient"
PERF_0007,performance,cases/PERF/PERF_0007,yes,yes,1,1,cases/PERF/PERF_0007/rewrite_pos_01.sql,cases/PERF/PERF_0007/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0007/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,not_detected,standalone_taxonomy_trial_file_needs_release_disposition;manifest_does_not_declare_spark_witness_data;manifest_does_not_declare_run_spark_validation;manifest_does_not_declare_spark_plan_artifacts,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,"partially_confirmed_missing_files_and_manifest_contract_gaps:spark_plan_collection_script,manifest_does_not_declare_spark_witness_data,manifest_does_not_declare_run_spark_validation,manifest_does_not_declare_spark_plan_artifacts","treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; declare existing Spark witness, validation, and plan artifacts in manifest.yaml; add missing Spark plan collection script or adjust release contract if retained plan artifacts are sufficient"
PERF_0008,performance,cases/PERF/PERF_0008,yes,yes,1,1,cases/PERF/PERF_0008/rewrite_pos_01.sql,cases/PERF/PERF_0008/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0008/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,possible_contract_staleness_manifest_contains_todo,standalone_taxonomy_trial_file_needs_release_disposition;manifest_does_not_declare_spark_witness_data;manifest_does_not_declare_run_spark_validation;manifest_does_not_declare_spark_plan_artifacts,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,"partially_confirmed_missing_files_and_manifest_contract_gaps:spark_plan_collection_script,manifest_does_not_declare_spark_witness_data,manifest_does_not_declare_run_spark_validation,manifest_does_not_declare_spark_plan_artifacts","treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; declare existing Spark witness, validation, and plan artifacts in manifest.yaml; add missing Spark plan collection script or adjust release contract if retained plan artifacts are sufficient"
PERF_0013,performance,cases/PERF/PERF_0013,yes,yes,1,1,cases/PERF/PERF_0013/rewrite_pos_01.sql,cases/PERF/PERF_0013/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0013/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,possible_contract_staleness_manifest_contains_todo,standalone_taxonomy_trial_file_needs_release_disposition;manifest_does_not_declare_spark_witness_data;manifest_does_not_declare_run_spark_validation;manifest_does_not_declare_spark_plan_artifacts,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,"partially_confirmed_missing_files_and_manifest_contract_gaps:spark_plan_collection_script,manifest_does_not_declare_spark_witness_data,manifest_does_not_declare_run_spark_validation,manifest_does_not_declare_spark_plan_artifacts","treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; declare existing Spark witness, validation, and plan artifacts in manifest.yaml; add missing Spark plan collection script or adjust release contract if retained plan artifacts are sufficient"
PERF_0017,performance,cases/PERF/PERF_0017,yes,yes,1,1,cases/PERF/PERF_0017/rewrite_pos_01.sql,cases/PERF/PERF_0017/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0017/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,possible_contract_staleness_manifest_contains_todo,standalone_taxonomy_trial_file_needs_release_disposition,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
PERF_0019,performance,cases/PERF/PERF_0019,yes,yes,1,1,cases/PERF/PERF_0019/rewrite_pos_01.sql,cases/PERF/PERF_0019/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0019/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,possible_contract_staleness_manifest_contains_todo,standalone_taxonomy_trial_file_needs_release_disposition,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
PERF_0024,performance,cases/PERF/PERF_0024,yes,yes,1,1,cases/PERF/PERF_0024/rewrite_pos_01.sql,cases/PERF/PERF_0024/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,yes,cases/PERF/PERF_0024/taxonomy_trial_v0.2.yaml,yes,not_applicable_no_readme,not_detected,no_top_level_provenance_block;standalone_taxonomy_trial_file_needs_release_disposition,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"add top-level provenance block linking existing provenance files and source lineage; treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
PERF_0033,performance,cases/PERF/PERF_0033,yes,yes,1,1,cases/PERF/PERF_0033/rewrite_pos_01.sql,cases/PERF/PERF_0033/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0033/taxonomy_trial_v0.3.yaml,yes,not_applicable_no_readme,not_detected,standalone_taxonomy_trial_file_needs_release_disposition,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
PERF_0034,performance,cases/PERF/PERF_0034,yes,yes,1,1,cases/PERF/PERF_0034/rewrite_pos_01.sql,cases/PERF/PERF_0034/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,no,,yes,not_applicable_no_readme,not_detected,,not_confirmed_explicit_provenance_block_present,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,no release-facing fix required beyond optional schema normalization
PERF_0035,performance,cases/PERF/PERF_0035,yes,yes,1,1,cases/PERF/PERF_0035/rewrite_pos_01.sql,cases/PERF/PERF_0035/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,no,,yes,not_applicable_no_readme,not_detected,,not_confirmed_explicit_provenance_block_present,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,no release-facing fix required beyond optional schema normalization
PERF_0052,performance,cases/PERF/PERF_0052,yes,yes,1,1,cases/PERF/PERF_0052/rewrite_pos_01.sql,cases/PERF/PERF_0052/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,no,,yes,not_applicable_no_readme,not_detected,,not_confirmed_explicit_provenance_block_present,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,no release-facing fix required beyond optional schema normalization
PERF_0054,performance,cases/PERF/PERF_0054,yes,yes,1,1,cases/PERF/PERF_0054/rewrite_pos_01.sql,cases/PERF/PERF_0054/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,yes,cases/PERF/PERF_0054/taxonomy_trial_v0.3.yaml,yes,not_applicable_no_readme,not_detected,standalone_taxonomy_trial_file_needs_release_disposition,not_confirmed_explicit_provenance_block_present,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
PERF_0056,performance,cases/PERF/PERF_0056,yes,yes,1,1,cases/PERF/PERF_0056/rewrite_pos_01.sql,cases/PERF/PERF_0056/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,no,,yes,not_applicable_no_readme,not_detected,,not_confirmed_explicit_provenance_block_present,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,no release-facing fix required beyond optional schema normalization
PERF_0062,performance,cases/PERF/PERF_0062,yes,yes,1,1,cases/PERF/PERF_0062/rewrite_pos_01.sql,cases/PERF/PERF_0062/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,explicit_manifest_block_and_case_local_files,yes,no,,yes,not_applicable_no_readme,not_detected,,not_confirmed_explicit_provenance_block_present,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,no release-facing fix required beyond optional schema normalization
PERF_0077,performance,cases/PERF/PERF_0077,yes,yes,1,1,cases/PERF/PERF_0077/rewrite_pos_01.sql,cases/PERF/PERF_0077/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
PERF_0082,performance,cases/PERF/PERF_0082,yes,yes,1,1,cases/PERF/PERF_0082/rewrite_pos_01.sql,cases/PERF/PERF_0082/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
PORT_0003,portability,cases/PORT/PORT_0003,yes,yes,2,2,cases/PORT/PORT_0003/rewrite_pos_01.sql;cases/PORT/PORT_0003/rewrite_pos_02_spark.sql,cases/PORT/PORT_0003/rewrite_neg_01.sql;cases/PORT/PORT_0003/rewrite_neg_02_spark.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,yes,cases/PORT/PORT_0003/taxonomy_trial_v0.3.yaml,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block;standalone_taxonomy_trial_file_needs_release_disposition;multiple_rewrite_files_need_array_role_metadata,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,confirmed_multiple_rewrites_engine_or_dialect_variant_files,not_applicable,"add top-level provenance block linking existing provenance files and source lineage; treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; represent rewrites as arrays with role and target_engine/dialect metadata"
PORT_0004,portability,cases/PORT/PORT_0004,yes,yes,2,2,cases/PORT/PORT_0004/rewrite_pos_01.sql;cases/PORT/PORT_0004/rewrite_pos_02_spark.sql,cases/PORT/PORT_0004/rewrite_neg_01.sql;cases/PORT/PORT_0004/rewrite_neg_02_spark.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,yes,cases/PORT/PORT_0004/taxonomy_trial_v0.3.yaml,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block;standalone_taxonomy_trial_file_needs_release_disposition;multiple_rewrite_files_need_array_role_metadata,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,confirmed_multiple_rewrites_engine_or_dialect_variant_files,not_applicable,"add top-level provenance block linking existing provenance files and source lineage; treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; represent rewrites as arrays with role and target_engine/dialect metadata"
PORT_0005,portability,cases/PORT/PORT_0005,yes,yes,2,2,cases/PORT/PORT_0005/rewrite_pos_01.sql;cases/PORT/PORT_0005/rewrite_pos_02_spark.sql,cases/PORT/PORT_0005/rewrite_neg_01.sql;cases/PORT/PORT_0005/rewrite_neg_02_spark.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,yes,cases/PORT/PORT_0005/taxonomy_trial_v0.3.yaml,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block;standalone_taxonomy_trial_file_needs_release_disposition;multiple_rewrite_files_need_array_role_metadata,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,confirmed_multiple_rewrites_engine_or_dialect_variant_files,not_applicable,"add top-level provenance block linking existing provenance files and source lineage; treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup; represent rewrites as arrays with role and target_engine/dialect metadata"
PORT_0008,portability,cases/PORT/PORT_0008,yes,yes,1,1,cases/PORT/PORT_0008/rewrite_pos_01.sql,cases/PORT/PORT_0008/rewrite_neg_01.sql,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,missing_checker;no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_confirmed_single_positive_single_negative_or_no_multiple,not_applicable,add top-level provenance block linking existing provenance files and source lineage
PORT_0012,portability,cases/PORT/PORT_0012,yes,yes,1,1,cases/PORT/PORT_0012/rewrite_pos_01.sql,cases/PORT/PORT_0012/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_confirmed_single_positive_single_negative_or_no_multiple,not_applicable,add top-level provenance block linking existing provenance files and source lineage
PORT_0013,portability,cases/PORT/PORT_0013,yes,yes,2,2,cases/PORT/PORT_0013/rewrite_pos_01.sql;cases/PORT/PORT_0013/rewrite_pos_02_spark.sql,cases/PORT/PORT_0013/rewrite_neg_01.sql;cases/PORT/PORT_0013/rewrite_neg_02_spark.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block;multiple_rewrite_files_need_array_role_metadata,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,confirmed_multiple_rewrites_engine_or_dialect_variant_files,not_applicable,add top-level provenance block linking existing provenance files and source lineage; represent rewrites as arrays with role and target_engine/dialect metadata
PORT_0022,portability,cases/PORT/PORT_0022,yes,yes,1,1,cases/PORT/PORT_0022/rewrite_pos_01.sql,cases/PORT/PORT_0022/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_confirmed_single_positive_single_negative_or_no_multiple,not_applicable,add top-level provenance block linking existing provenance files and source lineage
PORT_0024,portability,cases/PORT/PORT_0024,yes,yes,1,1,cases/PORT/PORT_0024/rewrite_pos_01.sql,cases/PORT/PORT_0024/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,source_fields_plus_case_local_files_no_manifest_block,yes,no,,yes,possible_conflict_readme_mentions_admitted_manifest_not_yet_admitted,not_detected,no_top_level_provenance_block,partially_confirmed_source_fields_plus_provenance_files_no_top_level_block,not_confirmed_manifest_tags_only,not_confirmed_single_positive_single_negative_or_no_multiple,not_applicable,add top-level provenance block linking existing provenance files and source lineage
