row_id,case_id,engine,validation_model,source_reference_engine,workspace,runnable,block_reason
PERF_0024__mysql__rewrite_neg_01,PERF_0024,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__mysql__rewrite_neg_01,true,
PERF_0024__spark__rewrite_neg_01,PERF_0024,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__spark__rewrite_neg_01,true,
PERF_0033__pg__rewrite_neg_01,PERF_0033,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__pg__rewrite_neg_01,true,
PERF_0033__mysql__rewrite_neg_01,PERF_0033,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__mysql__rewrite_neg_01,true,
PERF_0033__spark__rewrite_neg_01,PERF_0033,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__spark__rewrite_neg_01,true,
PERF_0034__pg__rewrite_neg_01,PERF_0034,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__pg__rewrite_neg_01,true,
PERF_0034__mysql__rewrite_neg_01,PERF_0034,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__mysql__rewrite_neg_01,true,
PERF_0034__spark__rewrite_neg_01,PERF_0034,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__spark__rewrite_neg_01,true,
PERF_0035__pg__rewrite_neg_01,PERF_0035,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__pg__rewrite_neg_01,true,
PERF_0035__mysql__rewrite_neg_01,PERF_0035,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__mysql__rewrite_neg_01,true,
PERF_0035__spark__rewrite_neg_01,PERF_0035,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__spark__rewrite_neg_01,true,
PERF_0052__pg__rewrite_neg_01,PERF_0052,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__pg__rewrite_neg_01,true,
PERF_0052__mysql__rewrite_neg_01,PERF_0052,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__mysql__rewrite_neg_01,true,
PERF_0052__spark__rewrite_neg_01,PERF_0052,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__spark__rewrite_neg_01,true,
PERF_0054__pg__rewrite_neg_01,PERF_0054,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__pg__rewrite_neg_01,true,
PERF_0054__mysql__rewrite_neg_01,PERF_0054,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__mysql__rewrite_neg_01,true,
PERF_0054__spark__rewrite_neg_01,PERF_0054,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__spark__rewrite_neg_01,true,
PERF_0056__pg__rewrite_neg_01,PERF_0056,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__pg__rewrite_neg_01,true,
PERF_0056__mysql__rewrite_neg_01,PERF_0056,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__mysql__rewrite_neg_01,true,
PERF_0056__spark__rewrite_neg_01,PERF_0056,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__spark__rewrite_neg_01,true,
PERF_0062__pg__rewrite_neg_01,PERF_0062,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__pg__rewrite_neg_01,true,
PERF_0062__mysql__rewrite_neg_01,PERF_0062,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__mysql__rewrite_neg_01,true,
PERF_0062__spark__rewrite_neg_01,PERF_0062,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__spark__rewrite_neg_01,true,
PERF_0077__pg__rewrite_neg_01,PERF_0077,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__pg__rewrite_neg_01,true,
PERF_0077__mysql__rewrite_neg_01,PERF_0077,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__mysql__rewrite_neg_01,true,
PERF_0077__spark__rewrite_neg_01,PERF_0077,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__spark__rewrite_neg_01,true,
PERF_0082__pg__rewrite_neg_01,PERF_0082,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__pg__rewrite_neg_01,true,
PERF_0082__mysql__rewrite_neg_01,PERF_0082,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__mysql__rewrite_neg_01,true,
PERF_0082__spark__rewrite_neg_01,PERF_0082,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__spark__rewrite_neg_01,true,
CONS_0005__pg__rewrite_neg_01,CONS_0005,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__pg__rewrite_neg_01,true,
CONS_0005__mysql__rewrite_neg_01,CONS_0005,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__mysql__rewrite_neg_01,true,
CONS_0005__spark__rewrite_neg_01,CONS_0005,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__spark__rewrite_neg_01,true,
CONS_0007__pg__rewrite_neg_01,CONS_0007,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__pg__rewrite_neg_01,true,
CONS_0007__mysql__rewrite_neg_01,CONS_0007,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__mysql__rewrite_neg_01,true,
CONS_0007__spark__rewrite_neg_01,CONS_0007,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__spark__rewrite_neg_01,true,
CONS_0009__pg__rewrite_neg_01,CONS_0009,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__pg__rewrite_neg_01,true,
CONS_0009__mysql__rewrite_neg_01,CONS_0009,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__mysql__rewrite_neg_01,true,
CONS_0009__spark__rewrite_neg_01,CONS_0009,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__spark__rewrite_neg_01,true,
CONS_0010__pg__rewrite_neg_01,CONS_0010,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__pg__rewrite_neg_01,true,
CONS_0010__mysql__rewrite_neg_01,CONS_0010,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__mysql__rewrite_neg_01,true,
CONS_0010__spark__rewrite_neg_01,CONS_0010,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__spark__rewrite_neg_01,true,
CONS_0011__pg__rewrite_neg_01,CONS_0011,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__pg__rewrite_neg_01,true,
CONS_0011__mysql__rewrite_neg_01,CONS_0011,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__mysql__rewrite_neg_01,true,
CONS_0011__spark__rewrite_neg_01,CONS_0011,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__spark__rewrite_neg_01,true,
CONS_0012__pg__rewrite_neg_01,CONS_0012,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__pg__rewrite_neg_01,true,
CONS_0012__mysql__rewrite_neg_01,CONS_0012,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__mysql__rewrite_neg_01,true,
CONS_0012__spark__rewrite_neg_01,CONS_0012,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__spark__rewrite_neg_01,true,
CONS_0024__pg__rewrite_neg_01,CONS_0024,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__pg__rewrite_neg_01,true,
CONS_0024__mysql__rewrite_neg_01,CONS_0024,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__mysql__rewrite_neg_01,true,
CONS_0024__spark__rewrite_neg_01,CONS_0024,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__spark__rewrite_neg_01,true,
CONS_0036__pg__rewrite_neg_01,CONS_0036,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__pg__rewrite_neg_01,true,
CONS_0036__mysql__rewrite_neg_01,CONS_0036,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__mysql__rewrite_neg_01,true,
CONS_0036__spark__rewrite_neg_01,CONS_0036,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__spark__rewrite_neg_01,true,
CONS_0037__pg__rewrite_neg_01,CONS_0037,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__pg__rewrite_neg_01,true,
CONS_0037__mysql__rewrite_neg_01,CONS_0037,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__mysql__rewrite_neg_01,true,
CONS_0037__spark__rewrite_neg_01,CONS_0037,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__spark__rewrite_neg_01,true,
PORT_0003__pg__NA_not_applicable,PORT_0003,pg,not_applicable_source_reference_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0003__pg__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0003__mysql__rewrite_neg_01,PORT_0003,mysql,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0003__mysql__rewrite_neg_01,true,
PORT_0003__spark__rewrite_neg_02_spark,PORT_0003,spark,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0003__spark__rewrite_neg_02_spark,true,
PORT_0004__pg__rewrite_neg_01,PORT_0004,pg,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0004__pg__rewrite_neg_01,true,
PORT_0004__mysql__NA_not_applicable,PORT_0004,mysql,not_applicable_source_reference_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0004__mysql__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0004__spark__rewrite_neg_02_spark,PORT_0004,spark,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0004__spark__rewrite_neg_02_spark,true,
PORT_0005__pg__NA_not_applicable,PORT_0005,pg,not_applicable_source_reference_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0005__pg__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0005__mysql__rewrite_neg_01,PORT_0005,mysql,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0005__mysql__rewrite_neg_01,true,
PORT_0005__spark__rewrite_neg_02_spark,PORT_0005,spark,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0005__spark__rewrite_neg_02_spark,true,
PORT_0008__pg__NA_not_applicable,PORT_0008,pg,not_applicable_source_reference_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0008__pg__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0008__mysql__rewrite_neg_01,PORT_0008,mysql,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0008__mysql__rewrite_neg_01,true,
PORT_0008__spark__rewrite_neg_01,PORT_0008,spark,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0008__spark__rewrite_neg_01,true,
PORT_0012__pg__NA_not_applicable,PORT_0012,pg,not_applicable_source_reference_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0012__pg__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0012__mysql__rewrite_neg_01,PORT_0012,mysql,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0012__mysql__rewrite_neg_01,true,
PORT_0012__spark__rewrite_neg_01,PORT_0012,spark,cross_dialect_reference,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0012__spark__rewrite_neg_01,true,
PORT_0013__pg__rewrite_neg_01,PORT_0013,pg,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0013__pg__rewrite_neg_01,true,
PORT_0013__mysql__NA_not_applicable,PORT_0013,mysql,not_applicable_source_reference_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0013__mysql__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0013__spark__rewrite_neg_02_spark,PORT_0013,spark,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0013__spark__rewrite_neg_02_spark,true,
PORT_0022__pg__rewrite_neg_01,PORT_0022,pg,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0022__pg__rewrite_neg_01,true,
PORT_0022__mysql__NA_not_applicable,PORT_0022,mysql,not_applicable_source_reference_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0022__mysql__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0022__spark__rewrite_neg_01,PORT_0022,spark,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0022__spark__rewrite_neg_01,true,
PORT_0024__pg__rewrite_neg_01,PORT_0024,pg,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0024__pg__rewrite_neg_01,true,
PORT_0024__mysql__NA_not_applicable,PORT_0024,mysql,not_applicable_source_reference_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0024__mysql__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0024__spark__rewrite_neg_01,PORT_0024,spark,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0024__spark__rewrite_neg_01,true,
PORT_0025__pg__rewrite_neg_01,PORT_0025,pg,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0025__pg__rewrite_neg_01,true,
PORT_0025__mysql__NA_not_applicable,PORT_0025,mysql,not_applicable_source_reference_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0025__mysql__NA_not_applicable,false,not_applicable_source_reference_engine
PORT_0025__spark__rewrite_neg_01,PORT_0025,spark,cross_dialect_reference,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0025__spark__rewrite_neg_01,true,
LONGTAIL_0011__pg__rewrite_neg_01,LONGTAIL_0011,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0011__pg__rewrite_neg_01,true,
LONGTAIL_0011__mysql__rewrite_neg_01,LONGTAIL_0011,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0011__mysql__rewrite_neg_01,true,
LONGTAIL_0011__spark__rewrite_neg_01,LONGTAIL_0011,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0011__spark__rewrite_neg_01,true,
LONGTAIL_0012__pg__rewrite_neg_01,LONGTAIL_0012,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0012__pg__rewrite_neg_01,true,
LONGTAIL_0012__mysql__rewrite_neg_01,LONGTAIL_0012,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0012__mysql__rewrite_neg_01,true,
LONGTAIL_0012__spark__rewrite_neg_01,LONGTAIL_0012,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0012__spark__rewrite_neg_01,true,
LONGTAIL_0013__pg__rewrite_neg_01,LONGTAIL_0013,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0013__pg__rewrite_neg_01,true,
LONGTAIL_0013__mysql__rewrite_neg_01,LONGTAIL_0013,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0013__mysql__rewrite_neg_01,true,
LONGTAIL_0013__spark__rewrite_neg_01,LONGTAIL_0013,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/LONGTAIL_0013__spark__rewrite_neg_01,true,
