row_id,case_id,engine,result_check_artifact,checker_status,notes
PERF_0013__mysql__rewrite_neg_01,PERF_0013,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0013__spark__rewrite_neg_01,PERF_0013,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0017__pg__rewrite_neg_01,PERF_0017,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0017__mysql__rewrite_neg_01,PERF_0017,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0017__spark__rewrite_neg_01,PERF_0017,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0019__pg__rewrite_neg_01,PERF_0019,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0019__mysql__rewrite_neg_01,PERF_0019,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0019__spark__rewrite_neg_01,PERF_0019,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0024__pg__rewrite_neg_01,PERF_0024,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0024__mysql__rewrite_neg_01,PERF_0024,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0024__spark__rewrite_neg_01,PERF_0024,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0033__pg__rewrite_neg_01,PERF_0033,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0033__mysql__rewrite_neg_01,PERF_0033,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0033__spark__rewrite_neg_01,PERF_0033,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0034__pg__rewrite_neg_01,PERF_0034,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0034__mysql__rewrite_neg_01,PERF_0034,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0034__spark__rewrite_neg_01,PERF_0034,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0035__pg__rewrite_neg_01,PERF_0035,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0035__mysql__rewrite_neg_01,PERF_0035,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0035__spark__rewrite_neg_01,PERF_0035,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0035__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0052__pg__rewrite_neg_01,PERF_0052,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0052__mysql__rewrite_neg_01,PERF_0052,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0052__spark__rewrite_neg_01,PERF_0052,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0052__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0054__pg__rewrite_neg_01,PERF_0054,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0054__mysql__rewrite_neg_01,PERF_0054,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0054__spark__rewrite_neg_01,PERF_0054,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0054__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0056__pg__rewrite_neg_01,PERF_0056,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0056__mysql__rewrite_neg_01,PERF_0056,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0056__spark__rewrite_neg_01,PERF_0056,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0056__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0062__pg__rewrite_neg_01,PERF_0062,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0062__mysql__rewrite_neg_01,PERF_0062,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0062__spark__rewrite_neg_01,PERF_0062,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0062__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0077__pg__rewrite_neg_01,PERF_0077,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0077__mysql__rewrite_neg_01,PERF_0077,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0077__spark__rewrite_neg_01,PERF_0077,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0077__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0082__pg__rewrite_neg_01,PERF_0082,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0082__mysql__rewrite_neg_01,PERF_0082,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0082__spark__rewrite_neg_01,PERF_0082,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0082__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0005__pg__rewrite_neg_01,CONS_0005,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0005__mysql__rewrite_neg_01,CONS_0005,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0005__spark__rewrite_neg_01,CONS_0005,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0005__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0007__pg__rewrite_neg_01,CONS_0007,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0007__mysql__rewrite_neg_01,CONS_0007,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0007__spark__rewrite_neg_01,CONS_0007,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0007__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0009__pg__rewrite_neg_01,CONS_0009,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0009__mysql__rewrite_neg_01,CONS_0009,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0009__spark__rewrite_neg_01,CONS_0009,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0009__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0010__pg__rewrite_neg_01,CONS_0010,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0010__mysql__rewrite_neg_01,CONS_0010,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0010__spark__rewrite_neg_01,CONS_0010,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0010__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0011__pg__rewrite_neg_01,CONS_0011,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0011__mysql__rewrite_neg_01,CONS_0011,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0011__spark__rewrite_neg_01,CONS_0011,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0011__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0012__pg__rewrite_neg_01,CONS_0012,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0012__mysql__rewrite_neg_01,CONS_0012,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0012__spark__rewrite_neg_01,CONS_0012,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0012__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0024__pg__rewrite_neg_01,CONS_0024,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0024__mysql__rewrite_neg_01,CONS_0024,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0024__spark__rewrite_neg_01,CONS_0024,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0024__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0036__pg__rewrite_neg_01,CONS_0036,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0036__mysql__rewrite_neg_01,CONS_0036,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0036__spark__rewrite_neg_01,CONS_0036,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0036__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0037__pg__rewrite_neg_01,CONS_0037,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0037__mysql__rewrite_neg_01,CONS_0037,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
CONS_0037__spark__rewrite_neg_01,CONS_0037,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/CONS_0037__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0003__pg__NA_not_applicable,PORT_0003,pg,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0003__mysql__rewrite_neg_01,PORT_0003,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0003__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0003__spark__rewrite_neg_02_spark,PORT_0003,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0003__spark__rewrite_neg_02_spark/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0004__pg__rewrite_neg_01,PORT_0004,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0004__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0004__mysql__NA_not_applicable,PORT_0004,mysql,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0004__spark__rewrite_neg_02_spark,PORT_0004,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0004__spark__rewrite_neg_02_spark/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0005__pg__NA_not_applicable,PORT_0005,pg,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0005__mysql__rewrite_neg_01,PORT_0005,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0005__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0005__spark__rewrite_neg_02_spark,PORT_0005,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0005__spark__rewrite_neg_02_spark/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0008__pg__NA_not_applicable,PORT_0008,pg,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0008__mysql__rewrite_neg_01,PORT_0008,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0008__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0008__spark__rewrite_neg_01,PORT_0008,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0008__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0012__pg__NA_not_applicable,PORT_0012,pg,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0012__mysql__rewrite_neg_01,PORT_0012,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0012__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0012__spark__rewrite_neg_01,PORT_0012,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0012__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0013__pg__rewrite_neg_01,PORT_0013,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0013__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0013__mysql__NA_not_applicable,PORT_0013,mysql,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0013__spark__rewrite_neg_02_spark,PORT_0013,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0013__spark__rewrite_neg_02_spark/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0022__pg__rewrite_neg_01,PORT_0022,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0022__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0022__mysql__NA_not_applicable,PORT_0022,mysql,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0022__spark__rewrite_neg_01,PORT_0022,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0022__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0024__pg__rewrite_neg_01,PORT_0024,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0024__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0024__mysql__NA_not_applicable,PORT_0024,mysql,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0024__spark__rewrite_neg_01,PORT_0024,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0024__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0025__pg__rewrite_neg_01,PORT_0025,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0025__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PORT_0025__mysql__NA_not_applicable,PORT_0025,mysql,NA_not_created,missing_artifact,not_applicable_source_reference_engine
PORT_0025__spark__rewrite_neg_01,PORT_0025,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PORT_0025__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
