table_id,metric_name,route_or_scope,denominator_id,source_artifact,recompute_input_level,formula_used,recomputed_value,retained_value,comparison_status,difference,tolerance,notes
Table 9,confirmed portability count,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct confirmed portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,suspected portability count,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct suspected portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,distinct tags by axis,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct normalized tags with axis prefix,11,11,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,cases covered by axis,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases with at least one axis tag,40,40,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,top tags by axis,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 tags by case coverage,plan_operator:present:scan:40|plan_operator:present:aggregate:34|plan_operator:present:join:32|plan_operator:present:sort:23|plan_operator:present:limit:13,plan_operator:present:scan:40|plan_operator:present:aggregate:34|plan_operator:present:join:32|plan_operator:present:sort:23|plan_operator:present:limit:13,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,primary tag count,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct primary tags where applicable,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,secondary tag count,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct secondary tags where applicable,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,confirmed portability count,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct confirmed portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,suspected portability count,plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct suspected portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,distinct tags by axis,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct normalized tags with axis prefix,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,cases covered by axis,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases with at least one axis tag,32,32,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,top tags by axis,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 tags by case coverage,workload_realism:source_inherited:classic_analytical_baseline:16|workload_realism:source_inherited:realistic_query_style:15|workload_realism:case_specific:complex_expression_density:7|workload_realism:case_specific:long_tail_structure:6|workload_realism:case_specific:result_size_sensitivity:4,workload_realism:source_inherited:classic_analytical_baseline:16|workload_realism:source_inherited:realistic_query_style:15|workload_realism:case_specific:complex_expression_density:7|workload_realism:case_specific:long_tail_structure:6|workload_realism:case_specific:result_size_sensitivity:4,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,primary tag count,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct primary tags where applicable,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,secondary tag count,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct secondary tags where applicable,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,confirmed portability count,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct confirmed portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,suspected portability count,workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct suspected portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,distinct tags by axis,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct normalized tags with axis prefix,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,cases covered by axis,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases with at least one axis tag,24,24,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,top tags by axis,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 tags by case coverage,portability:confirmed:identifier_quoting:9|portability:suspected:datetime_semantics_gap:7|portability:confirmed:limit_fetch_gap:6|portability:confirmed:type_semantics_gap:6|portability:confirmed:datetime_semantics_gap:5,portability:confirmed:identifier_quoting:9|portability:suspected:datetime_semantics_gap:7|portability:confirmed:limit_fetch_gap:6|portability:confirmed:type_semantics_gap:6|portability:confirmed:datetime_semantics_gap:5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,primary tag count,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,primary/secondary tag counts are not defined for portability axis; use confirmed/suspected columns instead,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,secondary tag count,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,primary/secondary tag counts are not defined for portability axis; use confirmed/suspected columns instead,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,confirmed portability count,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct pipe-split portability_confirmed values,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,suspected portability count,portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct suspected portability tags for portability axis only,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool count,PERF,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases in pool,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PERF:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,11,11,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PERF:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PERF:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,sql_feature:primary:date_time_function:6|sql_feature:primary:correlated_subquery:3|sql_feature:primary:cte:3|sql_feature:secondary:expression_complexity:2|sql_feature:secondary:subquery_in_from:2,sql_feature:primary:date_time_function:6|sql_feature:primary:correlated_subquery:3|sql_feature:primary:cte:3|sql_feature:secondary:expression_complexity:2|sql_feature:secondary:subquery_in_from:2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PERF:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PERF:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PERF:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:predicate_pushdown:7|rewrite_opportunity:secondary:join_reorder:4|rewrite_opportunity:primary:join_reorder:3|rewrite_opportunity:primary:subquery_decorrelation:3,rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:predicate_pushdown:7|rewrite_opportunity:secondary:join_reorder:4|rewrite_opportunity:primary:join_reorder:3|rewrite_opportunity:primary:subquery_decorrelation:3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PERF:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PERF:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,10,10,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PERF:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,plan_operator:present:aggregate:16|plan_operator:present:scan:16|plan_operator:present:join:14|plan_operator:present:sort:12|plan_operator:present:limit:8,plan_operator:present:aggregate:16|plan_operator:present:scan:16|plan_operator:present:join:14|plan_operator:present:sort:12|plan_operator:present:limit:8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PERF:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PERF:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,4,4,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PERF:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,workload_realism:source_inherited:classic_analytical_baseline:16|workload_realism:source_inherited:real_data_correlation:2|workload_realism:case_specific:complex_expression_density:1|workload_realism:case_specific:long_tail_structure:1,workload_realism:source_inherited:classic_analytical_baseline:16|workload_realism:source_inherited:real_data_correlation:2|workload_realism:case_specific:complex_expression_density:1|workload_realism:case_specific:long_tail_structure:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PERF:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PERF:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PERF:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,portability:suspected:datetime_semantics_gap:6|portability:suspected:type_semantics_gap:3|portability:confirmed:limit_fetch_gap:2,portability:suspected:datetime_semantics_gap:6|portability:suspected:type_semantics_gap:3|portability:confirmed:limit_fetch_gap:2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool count,CONS,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases in pool,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,CONS:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,CONS:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,5,5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,CONS:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,sql_feature:primary:correlated_subquery:7|sql_feature:primary:outer_join:3|sql_feature:primary:set_operation:1|sql_feature:primary:subquery_in_from:1|sql_feature:secondary:subquery_in_from:1,sql_feature:primary:correlated_subquery:7|sql_feature:primary:outer_join:3|sql_feature:primary:set_operation:1|sql_feature:primary:subquery_in_from:1|sql_feature:secondary:subquery_in_from:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,CONS:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,CONS:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,7,7,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,CONS:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,rewrite_opportunity:primary:subquery_decorrelation:6|rewrite_opportunity:primary:aggregation_rewrite:2|rewrite_opportunity:secondary:aggregation_rewrite:2|rewrite_opportunity:primary:order_limit_simplification:1|rewrite_opportunity:secondary:materialization_strategy:1,rewrite_opportunity:primary:subquery_decorrelation:6|rewrite_opportunity:primary:aggregation_rewrite:2|rewrite_opportunity:secondary:aggregation_rewrite:2|rewrite_opportunity:primary:order_limit_simplification:1|rewrite_opportunity:secondary:materialization_strategy:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,CONS:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,CONS:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,CONS:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,plan_operator:present:scan:9|plan_operator:present:join:8|plan_operator:present:aggregate:7|plan_operator:present:subquery:7|plan_operator:present:materialize:2,plan_operator:present:scan:9|plan_operator:present:join:8|plan_operator:present:aggregate:7|plan_operator:present:subquery:7|plan_operator:present:materialize:2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,CONS:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,1,1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,CONS:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,1,1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,CONS:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,workload_realism:case_specific:long_tail_structure:1,workload_realism:case_specific:long_tail_structure:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,CONS:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,4,4,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,CONS:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,CONS:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,portability:confirmed:null_semantics_gap:2|portability:confirmed:limit_fetch_gap:1|portability:suspected:null_semantics_gap:1,portability:confirmed:null_semantics_gap:2|portability:confirmed:limit_fetch_gap:1|portability:suspected:null_semantics_gap:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool count,PORT,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases in pool,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PORT:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,7,7,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PORT:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PORT:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,sql_feature:primary:date_time_function:5|sql_feature:primary:expression_complexity:4|sql_feature:secondary:expression_complexity:1,sql_feature:primary:date_time_function:5|sql_feature:primary:expression_complexity:4|sql_feature:secondary:expression_complexity:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
