candidate_id,case_id,method_id,route_id,schema_name,statement_timeout,setup_sql,source_explain_sql,rewrite_explain_sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0017__pg,PERF_0017,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0017_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0017__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0017__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0017__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0024__pg,PERF_0024,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0024_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0024__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0024__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0024__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0033__pg,PERF_0033,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0033_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0033__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0033__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0033__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg,PERF_0034,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0034_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0035__pg,PERF_0035,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0035_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0035__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0035__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0035__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0052__pg,PERF_0052,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0052_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0052__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0052__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0052__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0054__pg,PERF_0054,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0054_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0054__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0054__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0054__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0056__pg,PERF_0056,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0056_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0056__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0056__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0056__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0062__pg,PERF_0062,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0062_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0062__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0062__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0062__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0077__pg,PERF_0077,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0077_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0077__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0077__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0077__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0082__pg,PERF_0082,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0082_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0082__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0082__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0082__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg,PORT_0003,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_port_0003_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PORT_0005__pg,PORT_0005,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_port_0005_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0005__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0005__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0005__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PORT_0008__pg,PORT_0008,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_port_0008_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0008__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0008__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0008__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PORT_0012__pg,PORT_0012,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_port_0012_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0012__pg/rewrite_explain.sql
direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg,LONGTAIL_0023,direct_llm,direct_llm_execute_repair_1shot,attr113_direct_llm_direct_llm_execute_repair_1shot_longtail_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/rewrite_explain.sql
direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg,PERF_0019,direct_llm,direct_llm_execute_repair_1shot,attr113_direct_llm_direct_llm_execute_repair_1shot_perf_0019,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg,CONS_0010,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_cons_0010_pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0011__pg,CONS_0011,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_cons_0011_pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0011__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0012__pg,CONS_0012,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_cons_0012_pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0012__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0036__pg,CONS_0036,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_cons_0036_pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0036__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0036__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0036__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg,CONS_0037,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_cons_0037_pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg,LONGTAIL_0011,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_longtail_0011_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0012__pg,LONGTAIL_0012,sqlglot,sqlglot_optimize_same_dialect,attr113_sqlglot_sqlglot_optimize_same_dialect_longtail_0012_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0012__pg/rewrite_explain.sql
