case_id,pool,engine,route_id,timing_status,warmup_count,repeat_count,median_source_ms,median_generated_ms,speedup_ratio,source_runtime_ms,generated_runtime_ms,suspicion_flag,triage_note
PERF_0054,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,593.8661879627034,371.18403299245983,1.5999137834477153,"[377.7949020732194, 593.8661879627034, 628.4808639902622]","[370.94337097369134, 371.18403299245983, 497.700437088497]",high_speedup_watch,fastest observed row
PERF_0056,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,473.93829992506653,606.8508359603584,0.7809808563617879,"[366.8731410289183, 473.93829992506653, 580.4645960452035]","[370.9894440835342, 738.7285780860111, 606.8508359603584]",slowdown_and_variance_watch,slowdown row with wide generated spread
PERF_0077,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,478.9922090712935,468.2716670213267,1.0228943146208172,"[478.9922090712935, 369.58756402600557, 589.2619009828195]","[356.6849909257144, 468.2716670213267, 468.6789819970727]",variance_watch,modest win with source spread > 200ms
PERF_0082,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,477.099018054083,475.67326901480556,1.0029973650182378,"[479.2714120121673, 832.0019799284637, 477.099018054083]","[475.67326901480556, 480.8557020733133, 473.0734850745648]",variance_watch,near-parity row with source spread > 350ms
CONS_0005,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,474.75271800067276,479.25099404528737,0.990613945301093,"[366.91709607839584, 474.75271800067276, 541.0049550700933]","[367.2559770056978, 479.25099404528737, 581.5513430861756]",variance_watch,near-parity row with generated spread > 200ms
CONS_0007,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,362.57420806214213,471.9082119408995,0.7683151063867266,"[362.57420806214213, 364.54265692736953, 364.13943604566157]","[362.23634192720056, 471.9082119408995, 575.3984190523624]",slowdown_and_generated_variance_watch,consistency row below 0.77 with generated spread > 200ms
CONS_0009,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,479.5712629565969,367.5991880008951,1.3046037059130533,"[369.0066720591858, 695.3551209298894, 479.5712629565969]","[365.7593139214441, 367.5991880008951, 560.0290339207277]",variance_watch,strong win but source spread > 300ms
CONS_0010,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,479.3387579265982,584.1196499532089,0.8206174162519542,"[701.2676479062065, 470.2477700775489, 479.3387579265982]","[584.1196499532089, 576.181125943549, 487.695838091895]",variance_watch,mild slowdown with source spread > 200ms
CONS_0011,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,472.27354696951807,370.02487503923476,1.2763291844080527,"[365.8308930462226, 476.42078809440136, 472.27354696951807]","[370.02487503923476, 370.44704298023134, 474.48989597614855]",none,complete timing row
CONS_0012,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,380.94534107949585,371.1863689823076,1.0262914418529362,"[380.94534107949585, 377.61829991359264, 470.52583808545023]","[367.64875007700175, 371.1863689823076, 475.94075405597687]",none,complete timing row
CONS_0024,consistency,pg,calcite_hep_pg_rewrite,timing_success,1,3,479.37388892751187,366.79467803332955,1.3069468395010945,"[477.773486985825, 479.37388892751187, 479.6631010249257]","[366.79467803332955, 364.4687619525939, 370.83883991092443]",none,complete timing row
