child_artifact,parent_artifact_or_script,dependency_type,used_for_columns,method_or_route,trace_status,notes
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/run_manual_sqlglot_full_per_case_timing.sh,computes_from,SQLGlot timed;gm;regression,sqlglot routes,fully_traceable_to_runner_and_artifact,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timing_event_long.csv|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/run_manual_calcite_hep_93_exact_timing.sh,computes_from,Calcite timed;gm;regression,calcite_hep_fail_closed_120,fully_traceable_to_runner_and_artifact,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/runs/r_bot_pg15_timing_expansion_02/run_results.json|reports/evaluation/common_core_v0/runs/r_bot_pg15_timing_expansion_02/run_manual_r_bot_pg15_timing.sh,computes_from,R-Bot timed;gm;regression,r_bot_same_engine_rewrite,traceable_to_artifact_chain,Bounded PG15 timing only.
direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh,generated_by,generated_or_ready;executed;exact,direct_llm_same_engine_rewrite,fully_traceable_to_runner_and_artifact,
direct_llm_execute_repair_1shot_result_card_v1.csv,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_direct_llm_execute_repair_1shot.py,generated_by,planned;exact;gm;regression,direct_llm_execute_repair_1shot,fully_traceable_to_runner_and_artifact,
sqlglot_result_check_backfill_summary_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_event_long_v1.csv,aggregates_from,SQLGlot exact63/exact72,sqlglot routes,traceable_to_artifact_chain,
r_bot_common_core_120_evidence_reconciliation_v1.csv,r_bot_formal_result_card_v1.csv|r_bot_pg_expansion_result_card_v2.csv|r_bot_pg15 timing/execution run_results.json,aggregates_from,R-Bot bounded cells,r_bot_same_engine_rewrite,traceable_to_artifact_chain,
llm_r2_pg9_bounded_evidence_reconciliation_v1.csv,reports/evaluation/common_core_v0/runs/llm_r2_supported_pg3_pg_execution_checker_02|reports/evaluation/common_core_v0/runs/llm_r2_common_core_pg6_pg_execution_checker_01,aggregates_from,LLM-R2 original planned/generated/executed/exact,llm_r2_original_route_bounded_pg9,traceable_to_artifact_chain,
llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv,reports/evaluation/common_core_v0/runs/llm_r2_recovered_extraction_pg5_generation_expansion_01|reports/evaluation/common_core_v0/runs/llm_r2_recovered_extraction_pg5_pg_execution_checker_01,aggregates_from,LLM-R2 recovered PG6 exact subset,llm_r2_recovered_extraction_route_v1,traceable_to_artifact_chain,
prior_methods_pg10_bounded_appendix_v1.md,missing LearnedRewrite executable regeneration runner,missing_generator_for,LearnedRewrite cells,learnedrewrite_pg10_bounded,artifact_only_no_generator_retained,Appendix artifact says 8/10 source-like/no-op and 10 checker-consistent bounded rows.
Table 12 placement cells,table11_bounded_pilot_evidence_reuse_v3.csv|claim_boundary fields,policy_source,placement,bounded routes,traceable_to_static_policy,
