row_key,case_id,pool,engine,execution_status,consistency_status,root_cause_category,evidence_note,source_tsv_exists,generated_tsv_exists,result_check_exists,claim_boundary
PERF_0035:mysql,PERF_0035,performance,mysql,executed,mismatch,rewrite_output_shape_changed_extra_column_and_scale_loss,"generated output adds trailing delta column and changes 150.000000 to 150",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0035:spark,PERF_0035,performance,spark,executed,mismatch,rewrite_output_shape_changed_extra_column_and_scale_loss,"generated output adds trailing delta column and changes 150.000000 to 150",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0052:mysql,PERF_0052,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0052:spark,PERF_0052,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0054:mysql,PERF_0054,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0054:spark,PERF_0054,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0056:mysql,PERF_0056,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0056:spark,PERF_0056,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0062:mysql,PERF_0062,performance,mysql,executed,mismatch,numeric_format_scale_loss,"source 4.0000/120.000000/80.000000 vs generated 4/120/80",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0062:spark,PERF_0062,performance,spark,executed,mismatch,numeric_format_scale_loss,"source 4.0/120.000000/80.000000 vs generated 4/120/80",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0077:mysql,PERF_0077,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0077:spark,PERF_0077,performance,spark,setup_failed,not_applicable,schema_setup_artifact_comment_only_ddl_fragment,"Spark DDL starts with comment-only fragment; retained log shows ParseException before first CREATE TABLE",false,false,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0082:mysql,PERF_0082,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0082:spark,PERF_0082,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0005:mysql,CONS_0005,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0005:spark,CONS_0005,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0007:mysql,CONS_0007,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0007:spark,CONS_0007,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0009:mysql,CONS_0009,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0009:spark,CONS_0009,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0010:mysql,CONS_0010,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0010:spark,CONS_0010,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0011:mysql,CONS_0011,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0011:spark,CONS_0011,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0012:mysql,CONS_0012,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0012:spark,CONS_0012,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0024:mysql,CONS_0024,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0024:spark,CONS_0024,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0036:mysql,CONS_0036,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0036:spark,CONS_0036,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0037:mysql,CONS_0037,consistency,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
CONS_0037:spark,CONS_0037,consistency,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PORT_0024:mysql,PORT_0024,portability,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PORT_0024:spark,PORT_0024,portability,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0011:mysql,LONGTAIL_0011,longtail,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0011:spark,LONGTAIL_0011,longtail,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0012:mysql,LONGTAIL_0012,longtail,mysql,executed,mismatch,numeric_format_scale_loss,"source has 0.0000/1.0000/2.0000 while generated has 0/1/2",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0012:spark,LONGTAIL_0012,longtail,spark,executed,mismatch,numeric_format_scale_loss,"source has 0.0/1.0/2.0 while generated has 0/1/2",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0013:mysql,LONGTAIL_0013,longtail,mysql,executed,mismatch,numeric_format_scale_loss,"source has 5.0000/4.0000 while generated has 5/4",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0013:spark,LONGTAIL_0013,longtail,spark,executed,mismatch,numeric_format_scale_loss,"source has 5.0/4.0 while generated has 5/4",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0022:mysql,LONGTAIL_0022,longtail,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0022:spark,LONGTAIL_0022,longtail,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0023:mysql,LONGTAIL_0023,longtail,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0023:spark,LONGTAIL_0023,longtail,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0024:mysql,LONGTAIL_0024,longtail,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
LONGTAIL_0024:spark,LONGTAIL_0024,longtail,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
