candidate_id,schema_name,statement_timeout,setup_sql,source_explain_sql,rewrite_explain_sql
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg,attr24_sqlglot__sqlglot_transpile_same_dialect_noop__perf_00,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg/rewrite_explain.sql
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg,attr24_sqlglot__sqlglot_transpile_same_dialect_noop__perf_00,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg/rewrite_explain.sql
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg,attr24_sqlglot__sqlglot_transpile_same_dialect_noop__perf_00,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg,attr24_sqlglot__sqlglot_optimize_same_dialect__longtail_0011,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg,attr24_sqlglot__sqlglot_optimize_same_dialect__longtail_0022,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg,attr24_sqlglot__sqlglot_optimize_same_dialect__perf_0082__pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg,attr24_sqlglot__sqlglot_optimize_same_dialect__cons_0010__pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0010__pg/rewrite_explain.sql
sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg,attr24_sqlglot__sqlglot_optimize_same_dialect__cons_0037__pg,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_optimize_same_dialect__CONS_0037__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__perf_0007__,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__cons_0011__,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__longtail_00,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__perf_0013__,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0013__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__perf_0054__,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0054__pg/rewrite_explain.sql
calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg,attr24_calcite_hep__calcite_hep_fail_closed_120__perf_0024__,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/calcite_hep__calcite_hep_fail_closed_120__PERF_0024__pg/rewrite_explain.sql
