case_id,pool,route_id,timing_success_rows,engine_count,engines_json,replacement_retry_rows,timing_source_packages_json,median_source_ms_by_engine_json,median_generated_ms_by_engine_json,speedup_ratio_by_engine_json,provenance_note
LONGTAIL_0013,longtail,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 171.6602600645274, ""pg"": 300.4112149355933, ""spark"": 597.0144970342517}","{""mysql"": 169.75118801929057, ""pg"": 304.033838910982, ""spark"": 577.8525799978524}","{""mysql"": 1.0112462956372352, ""pg"": 0.9880848000723716, ""spark"": 1.0331605632641987}",all timing rows retained from full timing run
LONGTAIL_0022,longtail,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 148.73146708123386, ""pg"": 405.64929507672787, ""spark"": 427.69698495976627}","{""mysql"": 150.73855500668287, ""pg"": 301.94947600830346, ""spark"": 472.631307085976}","{""mysql"": 0.9866849730292291, ""pg"": 1.343434340205885, ""spark"": 0.9049273261154582}",all timing rows retained from full timing run
LONGTAIL_0023,longtail,direct_llm_same_engine_rewrite,1,1,"[""mysql""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 131.8825400667265}","{""mysql"": 131.60195900127292}","{""mysql"": 1.0021320432277978}",all timing rows retained from full timing run
LONGTAIL_0024,longtail,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 136.34294201619923, ""pg"": 303.9335490902886, ""spark"": 325.53435605950654}","{""mysql"": 133.73013399541378, ""pg"": 298.4075651038438, ""spark"": 323.10787099413574}","{""mysql"": 1.0195379152231692, ""pg"": 1.01851824361263, ""spark"": 1.007509829636477}",all timing rows retained from full timing run
PERF_0006,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 115.98047392908484, ""pg"": 291.0066860495135, ""spark"": 252.80101597309113}","{""mysql"": 113.64219803363085, ""pg"": 292.61825897265226, ""spark"": 227.17419697437435}","{""mysql"": 1.0205757714644168, ""pg"": 0.9944925756554058, ""spark"": 1.1128069091473778}",all timing rows retained from full timing run
PERF_0007,performance,direct_llm_same_engine_rewrite,2,2,"[""mysql"", ""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 113.21161594241858, ""pg"": 293.26604795642197}","{""mysql"": 117.10000899620354, ""pg"": 422.02664306387305}","{""mysql"": 0.9667942548671279, ""pg"": 0.6948993689766564}",all timing rows retained from full timing run
PERF_0008,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",1,"[""direct_llm_same_engine_timing_01"", ""direct_llm_same_engine_timing_retry_spark_perf5_01""]","{""mysql"": 154.1842109290883, ""pg"": 298.6399990040809, ""spark"": 356.5817669732496}","{""mysql"": 152.66817598603666, ""pg"": 299.0827860776335, ""spark"": 368.17417689599097}","{""mysql"": 1.009930261714729, ""pg"": 0.998519516688474, ""spark"": 0.9685137887168653}",includes targeted Spark retry replacement
PERF_0013,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",1,"[""direct_llm_same_engine_timing_01"", ""direct_llm_same_engine_timing_retry_spark_perf5_01""]","{""mysql"": 202.6747049530968, ""pg"": 311.8943020235747, ""spark"": 508.06855596601963}","{""mysql"": 208.1689500482753, ""pg"": 349.12970603909343, ""spark"": 519.0438529243693}","{""mysql"": 0.9736067982573561, ""pg"": 0.893347935247454, ""spark"": 0.9788547790393562}",includes targeted Spark retry replacement
PERF_0017,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",1,"[""direct_llm_same_engine_timing_01"", ""direct_llm_same_engine_timing_retry_spark_perf5_01""]","{""mysql"": 167.91557404212654, ""pg"": 302.7995720040053, ""spark"": 401.0570099344477}","{""mysql"": 167.3105489462614, ""pg"": 307.18359199818224, ""spark"": 374.7169839916751}","{""mysql"": 1.0036161802090522, ""pg"": 0.9857283393111607, ""spark"": 1.070293120056063}",includes targeted Spark retry replacement
PERF_0019,performance,direct_llm_same_engine_rewrite,2,2,"[""mysql"", ""spark""]",1,"[""direct_llm_same_engine_timing_01"", ""direct_llm_same_engine_timing_retry_spark_perf5_01""]","{""mysql"": 130.78301399946213, ""spark"": 319.5061630103737}","{""mysql"": 131.1427690088749, ""spark"": 328.7476550322026}","{""mysql"": 0.9972567682371537, ""spark"": 0.9718887971355304}",includes targeted Spark retry replacement
PERF_0024,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",1,"[""direct_llm_same_engine_timing_01"", ""direct_llm_same_engine_timing_retry_spark_perf5_01""]","{""mysql"": 191.6252530645579, ""pg"": 408.90220005530864, ""spark"": 558.8947660289705}","{""mysql"": 191.1096670664847, ""pg"": 303.3679510699585, ""spark"": 507.4197290232405}","{""mysql"": 1.002697854095962, ""pg"": 1.34787540547094, ""spark"": 1.101444689793235}",includes targeted Spark retry replacement
PERF_0033,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 148.69884902145714, ""pg"": 404.1134000290185, ""spark"": 375.7408079691231}","{""mysql"": 149.56678298767656, ""pg"": 298.7829839112237, ""spark"": 325.51013806369156}","{""mysql"": 0.9941970138764639, ""pg"": 1.3525315087859597, ""spark"": 1.1543136880597036}",all timing rows retained from full timing run
PERF_0034,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 205.42189094703645, ""pg"": 513.5598100023344, ""spark"": 826.3755299849436}","{""mysql"": 208.45460903365165, ""pg"": 302.87938204128295, ""spark"": 654.8403209308162}","{""mysql"": 0.9854514222512316, ""pg"": 1.6955918443214975, ""spark"": 1.2619496747089434}",all timing rows retained from full timing run
PERF_0035,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 171.6790460050106, ""pg"": 310.10175100527704, ""spark"": 550.3613520413637}","{""mysql"": 172.4286680109799, ""pg"": 301.7610650276765, ""spark"": 562.8705059643835}","{""mysql"": 0.9956525674377908, ""pg"": 1.0276400336035252, ""spark"": 0.9777761424866498}",all timing rows retained from full timing run
PERF_0052,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 176.2715799268335, ""pg"": 302.58479702752084, ""spark"": 463.35570397786796}","{""mysql"": 172.86397598218173, ""pg"": 304.13781001698226, ""spark"": 434.06063702423126}","{""mysql"": 1.0197126320003367, ""pg"": 0.9948937194314159, ""spark"": 1.0674907246933827}",all timing rows retained from full timing run
PERF_0054,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 150.5845399806276, ""pg"": 402.75287989061326, ""spark"": 336.50142594706267}","{""mysql"": 153.94832903984934, ""pg"": 297.5662340177223, ""spark"": 322.19441805500537}","{""mysql"": 0.9781498826248967, ""pg"": 1.3534898582163266, ""spark"": 1.0444048906198455}",all timing rows retained from full timing run
PERF_0056,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 228.34965703077614, ""pg"": 307.1230340283364, ""spark"": 1524.0942200180143}","{""mysql"": 228.98009594064206, ""pg"": 420.0757470680401, ""spark"": 1526.9350640010089}","{""mysql"": 0.9972467523551508, ""pg"": 0.7311134626836512, ""spark"": 0.9981395122490994}",all timing rows retained from full timing run
PERF_0062,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 209.61275999434292, ""pg"": 426.6176769742742, ""spark"": 512.2897109249607}","{""mysql"": 205.26278798934072, ""pg"": 367.7938269684091, ""spark"": 461.4017710555345}","{""mysql"": 1.0211922094969699, ""pg"": 1.1599370236600455, ""spark"": 1.1102898667965913}",all timing rows retained from full timing run
PERF_0077,performance,direct_llm_same_engine_rewrite,2,2,"[""mysql"", ""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 184.2075539752841, ""pg"": 305.06419006269425}","{""mysql"": 184.0856479248032, ""pg"": 310.41170994285494}","{""mysql"": 1.000662224632149, ""pg"": 0.9827728152357875}",all timing rows retained from full timing run
PERF_0082,performance,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 204.24907805863768, ""pg"": 415.64591601490974, ""spark"": 708.280308987014}","{""mysql"": 200.8767689112574, ""pg"": 309.03189606033266, ""spark"": 697.1550419693813}","{""mysql"": 1.0167879499737975, ""pg"": 1.3449935793480772, ""spark"": 1.0159580959010281}",all timing rows retained from full timing run
PORT_0003,portability,direct_llm_same_engine_rewrite,1,1,"[""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""pg"": 294.4751169998199}","{""pg"": 294.0378059865907}","{""pg"": 1.001487261176371}",all timing rows retained from full timing run
PORT_0004,portability,direct_llm_same_engine_rewrite,1,1,"[""mysql""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 136.11782097723335}","{""mysql"": 135.05328597966582}","{""mysql"": 1.0078823331831246}",all timing rows retained from full timing run
PORT_0005,portability,direct_llm_same_engine_rewrite,1,1,"[""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""pg"": 295.9301130613312}","{""pg"": 293.21791301481426}","{""pg"": 1.0092497761089376}",all timing rows retained from full timing run
PORT_0008,portability,direct_llm_same_engine_rewrite,1,1,"[""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""pg"": 297.0368970418349}","{""pg"": 295.50549597479403}","{""pg"": 1.0051823099329817}",all timing rows retained from full timing run
PORT_0012,portability,direct_llm_same_engine_rewrite,1,1,"[""pg""]",0,"[""direct_llm_same_engine_timing_01""]","{""pg"": 375.958206015639}","{""pg"": 297.07266006153077}","{""pg"": 1.265542934640196}",all timing rows retained from full timing run
PORT_0013,portability,direct_llm_same_engine_rewrite,1,1,"[""mysql""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 134.26634401548654}","{""mysql"": 132.72665708791465}","{""mysql"": 1.011600434768368}",all timing rows retained from full timing run
PORT_0022,portability,direct_llm_same_engine_rewrite,1,1,"[""mysql""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 132.51964608207345}","{""mysql"": 132.30105803813785}","{""mysql"": 1.0016522017826388}",all timing rows retained from full timing run
PORT_0024,portability,direct_llm_same_engine_rewrite,1,1,"[""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""spark"": 190.98800607025623}","{""spark"": 194.07603598665446}","{""spark"": 0.9840885563191811}",all timing rows retained from full timing run
PORT_0025,portability,direct_llm_same_engine_rewrite,1,1,"[""mysql""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 132.82175397034734}","{""mysql"": 133.80305306054652}","{""mysql"": 0.9926660934279644}",all timing rows retained from full timing run
