baseline_id,baseline_method,category,representative_role,original_paper_task,input_output,pg,mysql,spark,cross_dialect,environment,common_core_fit,subset_only,citation_count_latest,citation_gate_20plus,token_cost_class,token_cost_notes,recommended_use,priority,source_urls,notes,boss_group,leaderboard_role
LLM_R2,LLM-R2,LLM-enhanced rule-based rewrite,Representative LLM-guided rule selection baseline,Use LLM and contrastive demonstrations to select/apply rewrite rules for query efficiency,Input: SQL + schema + demonstrations/rule candidates; Output: selected rewrite rules or rewritten SQL,Likely adaptable,Unclear,Unclear,No core support,"LLM API, demonstration pool, rule applier, possible embedding/contrastive model",Subset/dev-only adaptation possible,Yes - rules/demonstrations supported subset,Recent 2024; count unverified/likely <20,Frontier exception; verify at freeze,Medium-High,LLM rule-selection calls; demo context affects tokens,Main/secondary LLM-rule baseline depending reproducibility,P1/P2 exception,https://huggingface.co/papers/2404.12872,Separate original-demo and our-dev-demo settings.,P1_frontier_exception,subset_only_candidate
LITHE,LITHE,LLM prompt/ensemble rewrite,Recent LLM rewrite frontier baseline,LLM-infused transformations of hefty queries via prompts/ensembles/database-sensitive context,Input: SQL + DB context + prompt ensemble; Output: rewritten SQL candidates,Likely adaptable,Unclear/adaptable,Unclear/adaptable,No core support,"LLM API/local model, prompt ensemble, checker, token logger",Subset after prompt freeze,Yes - frontier experimental subset,Recent 2025; likely <20,Frontier exception only,High,Prompt ensemble can multiply calls; cap candidates,Appendix/frontier if time allows,P2/P3,https://www.themoonlight.io/en/review/query-rewriting-via-llms; https://huggingface.co/papers/2502.12918,Good ablation candidate; not first-line if citation gate strict.,P3_optional_appendix,subset_only_candidate
E3_REWRITE,E3-Rewrite,LLM + execution/context + RL,Frontier LLM rewrite optimized for executability/equivalence/efficiency,"Train/infer rewrites using execution-plan context, retrieval and RL reward over executable/equivalent/efficient criteria",Input: SQL + schema + plan context + retrieved demos; Output: rewritten SQL from trained/inference model,Likely original benchmarks only; verify,Unclear,Unclear,No core support,"LLM/local model, GPU/RL stack, plan context, reward/checker pipeline",Not first wave; maybe subset/case study,Yes - training/inference setup heavy,2025 preprint; <20,Fail hard gate; frontier only,High/Compute-heavy,If API model used: high tokens; if local: GPU compute cost instead,Optional frontier appendix,P3,https://www.researchgate.net/publication/394458468_E3-Rewrite_Learning_to_Rewrite_SQL_for_Executability_Equivalenceand_Efficiency,Do not let it delay P0/P1 runs.,P3_optional_appendix,subset_only_candidate
LLM_DIRECT_REWRITE_STRONG,Direct strong LLM rewrite,LLM direct baseline,Minimal direct LLM baseline for current-model ability,No original paper; controlled prompt baseline,Input: source.sql + schema + target engine + constraints; Output: SQL only,Yes via prompt/checker,Yes via prompt/checker,Yes via prompt/checker,No for same-engine; separate translation variant,"LLM API/local model, prompt template, token logger, checker",Yes,"No, but failures must be logged",N/A experimental control,N/A control,High,Use model_id + pricing_snapshot; cost=(input/1M*input_price)+(output/1M*output_price),Must-run LLM control,P0/P1,https://platform.openai.com/docs/pricing/,"Use temperature 0, no retry for first fair setting.",P0_control_or_tool,speedup_leaderboard
LLM_DIRECT_REWRITE_SMALL,Direct small/cheap LLM rewrite,LLM cost baseline,Cost-quality baseline against strong model,No original paper; controlled prompt baseline,Input: same as strong LLM; Output: SQL only,Yes via prompt/checker,Yes via prompt/checker,Yes via prompt/checker,No for same-engine; can add translation variant,"LLM API/local small model, token logger, checker",Yes,"No, but failures logged",N/A experimental control,N/A control,Low-Medium,Use as denominator for cost per valid rewrite and cost per accepted speedup,Must-run cost baseline,P0/P1,https://platform.openai.com/docs/pricing/,Same prompt as strong LLM to isolate model/cost effect.,P0_control_or_tool,speedup_leaderboard
LLM_NBEST_VERIFY_RERANK,LLM n-best + verify/rerank,LLM + checker pipeline,Tests whether verifier turns LLM candidates into usable rewrites,Derived pipeline inspired by correction/rerank methods; not a single prior paper,Input: SQL + schema + n candidates budget; Output: fastest valid candidate after checker,Yes,Yes,Yes,Optional,"LLM API/local model, candidate generation, checker, runtime reranker",Yes after budget freeze,"No, but expensive",N/A derived ablation,N/A ablation,Very High,Token cost scales with n candidates and retries; report cost per valid candidate,Strong appendix / secondary main,P2,project:benchmark_spec/primary_metrics_v0.md; https://platform.openai.com/docs/pricing/,Cap n and correction rounds before seeing test results.,P2_support_or_secondary,subset_only_candidate
LLM_DIRECT_TRANSLATE,Direct LLM cross-dialect translation,LLM translation baseline,Portability counterpart to SQLGlot transpile,No original paper; controlled cross-dialect prompt baseline,Input: source SQL + source dialect + target dialect + schema; Output: target dialect SQL,Yes target/source,Yes target/source,Yes target/source,Yes,"LLM API/local model, prompt, checker across engines",Yes for portability common-core,"No, but dialect failures logged",N/A experimental control,N/A control,Medium-High,One or more LLM calls per dialect edge; track cost per successful translation,Must-run portability LLM baseline,P0/P1,https://platform.openai.com/docs/pricing/,Use with SQLGlot_transpile as non-LLM counterpart.,P0_control_or_tool,translation_leaderboard
SQLSOLVER_SUPPORT,SQLSolver support analysis,Formal verifier support,Representative formal equivalence prover support metric,Prove SQL query equivalence using linear integer arithmetic,Input: pair of SQL queries + schema; Output: prove/refute/unknown/timeout,Engine-independent SQL subset,Engine-independent SQL subset,Engine-independent SQL subset; Spark-derived benchmarks in paper,No,"Ubuntu, Java 17, Gradle, Z3/ANTLR as repo requirements",Subset support analysis,Yes - prover-supported SQL fragment,25 ResearchGate,"Pass, verify at freeze",None,No LLM call,"Support metric, not speedup leaderboard",P2,https://github.com/SJTU-IPADS/SQLSolver; https://www.researchgate.net/publication/376475433_Proving_Query_Equivalence_Using_Linear_Integer_Arithmetic,"Report VerifierSupportRate, UnknownRate, TimeoutRate.",P2_support_or_secondary,support_only
VERIEQL_SUPPORT,VeriEQL support analysis,Bounded verifier support,Representative bounded equivalence verifier for complex SQL,Bounded equivalence verification for complex SQL queries with integrity constraints,Input: SQL pair + schema + integrity constraints + bound; Output: equivalent / counterexample / unknown,Engine-independent subset,Engine-independent subset,Engine-independent subset,No,"Verifier tool, constraint/bound setup, likely solver stack",Subset support analysis,Yes - bounded SQL/features supported,Recent 2024; count unverified/likely <20,Frontier exception or support-only,None,No LLM call,Support metric / appendix,P2,https://www.researchgate.net/publication/380190729_VeriEQL_Bounded_Equivalence_Verification_for_Complex_SQL_Queries_with_Integrity_Constraints; https://www.researchgate.net/publication/385665121_Demonstration_of_the_VeriEQL_Equivalence_Checker_for_Complex_SQL_Queries,Useful for correctness claim even if not cited 20+.,P2_support_or_secondary,support_only
COSETTE_QED_SUPPORT,Cosette / QED-style equivalence support,Formal verifier support,Older equivalence prover family / historical support comparison,Prove SQL query equivalence under supported semantics/fragments,Input: SQL pair + schema/model; Output: proof/counterexample/unknown,Engine-independent subset,Engine-independent subset,Engine-independent subset,No,Tool-specific theorem prover/solver stack,Small support subset only,Yes - often narrow SQL fragment,Verify separately,Verify; likely support appendix only,None,No LLM call,Optional support appendix,P3,https://github.com/uwdb/Cosette,Do not spend time unless SQLSolver/VeriEQL are already running.,P3_optional_appendix,support_only
SQLANCER_WITNESS_AUGMENT,SQLancer witness augmentation,QA / witness generation,"Adversarial/randomized data generation support, not rewrite method",DBMS testing using generated SQL and test oracles,Input: DBMS target + generator config; Output: generated tests/data/counterexamples,Yes,Yes,No native/unclear,No,"Java, SQLancer, target DBMS drivers",Support only for selected negative/equivalence stress cases,Yes - QA subset,Tool has high visibility; verify paper citation if needed,N/A QA or verify,None,No LLM call,"QA add-on, not baseline leaderboard",P3,https://github.com/sqlancer/sqlancer,Use only to strengthen witness data / false-equivalence detection.,P3_optional_appendix,support_only
