case_id,pool,source_family,denominator_role,notes_link,caveat,included_in_common_core_v0
CONS_0037,consistency,VeriEQL,consistency_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 consistency candidate; human review required before freeze,yes
PORT_0003,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,yes
PORT_0004,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,yes
PORT_0005,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,yes
PORT_0008,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,replacement for PORT_0002; human-reviewed portability candidate; keep not yet admitted until final freeze,yes
PORT_0012,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,yes
PORT_0013,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,yes
PORT_0022,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,yes
PORT_0024,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,yes
PORT_0025,portability,PARROT,portability_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,yes
LONGTAIL_0011,longtail,SQLStorm,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,yes
LONGTAIL_0012,longtail,SQLStorm,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,yes
LONGTAIL_0013,longtail,SQLStorm,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,yes
LONGTAIL_0022,longtail,Stack Queries,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 longtail stack-substrate candidate; manual review still required before freeze,yes
LONGTAIL_0023,longtail,Stack Queries,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,replacement for LONGTAIL_0001; stack-substrate candidate retained in review packet,yes
LONGTAIL_0024,longtail,Stack Queries,longtail_denominator_case,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md,common_core_v0 longtail stack-substrate candidate; manual review still required before freeze,yes
