case_id,pool,current_benchmark_line,proposed_benchmark_line,current_dataset_line,proposed_dataset_line,current_promotion_status,proposed_promotion_status,current_admission_status,proposed_admission_status,current_next_gap,proposed_next_gap,proposed_notes_link
PERF_0052,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0054,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0056,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0062,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,后续如需推进，再决定是否推进 common-core candidate,replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0077,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep JOB-derived case and whether to advance toward formal review,JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PERF_0082,performance,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep JOB-derived case and whether to advance toward formal review,JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0005,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0007,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0009,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0010,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0011,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0012,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0024,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0036,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
CONS_0037,consistency,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,common_core_v0 consistency candidate; human review required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0003,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet；later admission decision；plan semantics not formally reviewed,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0004,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0005,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0008,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,replacement for PORT_0002; human-reviewed portability candidate; keep not yet admitted until final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0012,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0013,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0022,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0024,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
PORT_0025,portability,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_yet_admitted,human_gate_approved_candidate,staged_not_yet_admitted,not_yet_admitted,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0022,longtail,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；prepare longtail review-prep wording；plan semantics not formally reviewed；later admission decision,common_core_v0 longtail stack-substrate candidate; manual review still required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0023,longtail,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；prepare longtail review-prep wording；plan semantics not formally reviewed；later admission decision,replacement for LONGTAIL_0001; stack-substrate candidate retained in review packet,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0024,longtail,staged,common_core_v0_candidate_review_packet,not_yet_admitted,common_core_v0_candidate,not_under_review,under_common_core_v0_review,staged_not_yet_admitted,not_yet_admitted,human review package quality；prepare longtail review-prep wording；plan semantics not formally reviewed；later admission decision,common_core_v0 longtail stack-substrate candidate; manual review still required before freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0011,longtail,not_assessed,needs_registry_alignment_before_freeze,not_assessed,common_core_v0_candidate,witness_validated,human_gate_approved_candidate,not_assessed,not_yet_admitted,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0012,longtail,not_assessed,needs_registry_alignment_before_freeze,not_assessed,common_core_v0_candidate,witness_validated,human_gate_approved_candidate,not_assessed,not_yet_admitted,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
LONGTAIL_0013,longtail,not_assessed,needs_registry_alignment_before_freeze,not_assessed,common_core_v0_candidate,witness_validated,human_gate_approved_candidate,not_assessed,not_yet_admitted,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze,benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md
