case_id,primary_pool,source_family,source_detail,benchmark_line,dataset_line,admission_status,promotion_status,tri_engine_closure,validated_engines,next_gap,registry_present,expected_pool_dir,case_directory_exists,manifest_paths,source_paths,rewrite_pos_paths,rewrite_neg_paths,result_check_paths,plan_check_paths,pg_result_check_paths,pg_plan_check_paths,mysql_result_check_paths,mysql_plan_check_paths,spark_result_check_paths,spark_plan_check_paths,checker_equivalents,witness_equivalents,latest_experiment_status,latest_evidence_status,latest_core_suggestion,latest_manual_questions,evidence_status,known_risks,seed_common_core_9,expanded_pg_evidence_46,direct_llm_perf_34,prior_method_pg10,port_bounded_6,other_known_prior_evidence,replacement_suggestions
PERF_0035,performance,TPC-DS,query57.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2000；SELECTONE=cc_name；SELECTTWO=year+month；ORDERBY=nsum；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0035,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,False,False,,
PERF_0052,performance,TPC-DS,query_templates/query1.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2000；STATE=TN；AGG_FIELD=SR_FEE；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0052,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,True,False,calcite_hep_10|llmr2_10case,
PERF_0054,performance,TPC-DS,query_templates/query3.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；MANUFACT_ID=436；MONTH=12；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0054,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,True,True,False,True,False,calcite_hep_4|calcite_hep_10|llmr2_10case,
PERF_0056,performance,TPC-DS,query_templates/query6.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2000；MONTH=2；LIMIT=100）,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,后续如需推进，再决定是否推进 common-core candidate,True,cases/PERF/PERF_0056,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,validation/checker.yaml,validation/witness_dataset.yaml,已完成扩展实验,三引擎闭环,非核心扩展,无,complete_for_selection_review,,False,True,True,False,False,,
PERF_0077,performance,JOB/IMDB,JOB 3a.sql；draft origin JOB_DRAFT_0003；local JOB/IMDB candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep JOB-derived case and whether to advance toward formal review,True,cases/PERF/PERF_0077,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成主实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
PERF_0082,performance,JOB/IMDB,JOB 5a.sql；draft origin JOB_DRAFT_0005；local JOB/IMDB candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep JOB-derived case and whether to advance toward formal review,True,cases/PERF/PERF_0082,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成主实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0001,consistency,manual_seed,手工 consistency 锚点包；小型员工 witness 数据,pilot_anchor,common-core,none_needed,not_applicable_anchor,yes,pg|mysql|spark,后续统一 package 工艺后再做 schema/validator 回扫,True,cases/CONS/CONS_0001,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,,,,,,,,,,,仅完成smoke,仅preflight,核心候选待实验,无,artifact_gap,missing result_check|missing plan_check|admission/status conflict,False,False,False,False,False,,CONS_0024|CONS_0032|CONS_0034
CONS_0005,consistency,Calcite,Calcite / blank.iq correlated NOT IN table1/table2；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/blank.iq；draft origin CONS_CALCITE_DRAFT_0001；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0005,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0007,consistency,Calcite,Calcite / blank.iq tmp_emps correlated EXISTS；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/blank.iq；draft origin CONS_CALCITE_DRAFT_0005；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0007,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,True,True,False,False,False,,
CONS_0009,consistency,Calcite,Calcite / sub-query.iq UNION ALL scalar predicate；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/sub-query.iq；draft origin CONS_CALCITE_DRAFT_0014；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0009,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0010,consistency,Calcite,Calcite / sub-query.iq NOT EXISTS EMP/BONUS duplicate-salary seed；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/sub-query.iq；draft origin CONS_CALCITE_DRAFT_0017；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0010,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0011,consistency,Calcite,Calcite / sub-query.iq LEFT JOIN BONUS NULL-filter EXISTS；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/sub-query.iq；draft origin CONS_CALCITE_DRAFT_0022；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0011,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0012,consistency,Calcite,Calcite / sub-query.iq EXISTS LIMIT 1 OFFSET 2 threshold seed；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/sub-query.iq；draft origin CONS_CALCITE_DRAFT_0024；local Calcite candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0012,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,True,True,False,False,False,,
CONS_0036,consistency,VeriEQL,Calcite-397 / 124 HAVING predicate pushdown on DEPT names；local source datasets/raw/verieql/staged/VeriEQL/benchmarks/calcite/calcite2.jsonlines#index=124；draft origin CONS_VERIEQL_DRAFT_0006；local VeriEQL candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0036,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
CONS_0037,consistency,VeriEQL,Calcite-397 / 223 COUNT(DISTINCT joined name) under removable LEFT JOIN；local source datasets/raw/verieql/staged/VeriEQL/benchmarks/calcite/calcite2.jsonlines#index=223；draft origin CONS_VERIEQL_DRAFT_0007；local VeriEQL candidate promoted to case-local package,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,True,cases/CONS/CONS_0037,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,,,已完成一致性实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
PORT_0002,portability,PARROT,BIRD pg_res.json[0],common-core,common-core,admitted,admitted_common_core,yes,pg|mysql|spark,优先做 portability-specific checker / deeper observability，而不是继续争 admission,True,cases/PORT/PORT_0002,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,,,,,,,,,validation/checker.yaml,validation/witness_dataset.yaml,仅完成smoke,仅preflight,正式核心已登记,无,artifact_gap,missing result_check|package layout caveat|missing plan_check|admission/status conflict,False,False,False,False,False,,PORT_0006|PORT_0008|PORT_0023
PORT_0003,portability,PARROT,BIRD pg_res.json[3]；local source datasets/raw/parrot/PARROT/benchmark/BIRD/pg_res.json[3]；draft origin PORT_PARROT_DRAFT_0002；tracked cross-dialect result evidence in cases/PORT/PORT_0003/runs/result_check.json；tracked draft plan evidence in cases/PORT/PORT_0003/runs/plan_check.json,staged,not_yet_admitted,staged_not_yet_admitted,not_yet_admitted,yes,pg|mysql|spark,human review；portability review-prep packet；later admission decision；plan semantics not formally reviewed,True,cases/PORT/PORT_0003,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/result_check.json,runs/plan_check.json,,,,,,,validation/checker.yaml,,已完成跨引擎实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
PORT_0005,portability,PARROT,BIRD pg_res.json[9]；local source datasets/raw/parrot/PARROT/benchmark/BIRD/pg_res.json[9]；draft origin PORT_PARROT_DRAFT_0006；tracked cross-dialect result evidence in cases/PORT/PORT_0005/runs/result_check.json；tracked draft plan evidence in cases/PORT/PORT_0005/runs/plan_check.json,staged,not_yet_admitted,staged_not_yet_admitted,not_yet_admitted,yes,pg|mysql|spark,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,True,cases/PORT/PORT_0005,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/result_check.json,runs/plan_check.json,,,,,,,validation/checker.yaml,,已完成跨引擎实验,三引擎闭环,非核心扩展,无,needs_manual_review,known deferred or mismatch note,False,False,False,False,False,,
