paper_location,table_or_appendix,artifact_path,artifact_type,supports_claims,denominator_id,track,method_or_route,status,claim_boundary,notes
Section 8.9,Table 19 verifier support,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/verifier_support_pair_ledger_v1.csv,support_pair_summary_ledger,SQLSolver smoke support and VeriEQL bounded canary support,support_pairs_4_smoke|bounded_canary_cons_0035_pairs_2,Track B support,SQLSolver|VeriEQL,ready_with_boundary,verifier support only not rewrite generation and not same-engine 120 denominator,Verdict split remains NA_not_retained for SQLSolver where not retained.
Section 8.10,Table 20 conclusion-evidence map,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_claim_matrix_v7.csv,claim_support_matrix,safe paper wording forbidden overclaims and remaining gaps,claim_matrix_synthesis,paper layer,multiple,ready,map claims to retained evidence only and do not create new claims,Still the canonical claim layer.
Appendix A,Common-core case list,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,frozen_case_manifest,common-core case membership and denominator,common_core_v0_40_same_engine_120,governance,NA,ready,case list only,Manifest expands the 40-case denominator across 3 engines.
Appendix B,Full 4+1 taxonomy tag matrix,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case_tag_matrix,case-level retained normalized tags,common_core_v0_40,Track B taxonomy,NA,ready,retained tags only; no inferred tags,Canonical Appendix B matrix from Round 2.
Appendix C,Taxonomy-aware failure slicing,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,readiness_ledger,artifact readiness only for taxonomy-aware failure slicing,route_specific_failure_frontiers,Track B taxonomy plus failure,multiple,aggregation_ready,requires aggregation from retained failure exports; no new experiment needed,No dedicated rendered appendix table yet.
Appendix D,Hard-negative per-case/per-engine ledger,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,per_case_per_engine_ledger,full 120-cell hard-negative closure ledger,package_hard_negative_120,Track A controls,package_controls_only,ready,package controls only,Use with markdown summary if appendix render is needed.
Appendix E,Route-level method cards,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,method_card_readiness_ledger,what route-level method cards can be filled now versus aggregated,mixed_route_denominators,Track A plus appendix,multiple,aggregation_ready,main-track and bounded rows remain separate,Method cards are readiness-mapped but not all rendered in a dedicated appendix packet.
Appendix F,Selected plan observability frontier,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/selected_plan_observability_frontier_v1.csv,selected_observability_case_ledger,selected PG diagnostics and failure exemplar map,selected_pg_frontier_plus_failure_exemplar,Track B observability,selected_pg_cases,ready_with_boundary,selected frontier only not denominator-wide attribution,Appendix F can render directly from Round 4.
Appendix G,PORT bounded closure and SpeedupTransferRate readiness,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/speedup_transfer_readiness_v1.csv,readiness_matrix,bounded PORT closure status and blocked transfer-speed readiness,port_bounded_6,Track C portability,sqlglot_transpile|llm_translate|bounded_port_context,ready_with_boundary,SpeedupTransferRate not computed; missing paired target-engine timing,Combine with port_bounded_route_closure_v1.csv.
Appendix H,Verifier support details,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/verifier_support_pair_ledger_v1.csv,verifier_support_ledger,bounded support-pair details for SQLSolver and VeriEQL,support_pairs_4_smoke|bounded_canary_cons_0035_pairs_2,Track B support,SQLSolver|VeriEQL,ready_with_boundary,support-only evidence not rewrite baselines,Bounded denominators stay explicit.
Appendix I,Reproducibility package,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,reproducibility_readiness_ledger,reproducibility-package readiness only,NA_not_applicable,packaging,NA,manual_review_needed,scope and packaging boundary still need human review,Round 1 freeze marked Appendix I as manual review rather than missing experiment.
Section 8.8,Table 18 SpeedupTransferRate field,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/speedup_transfer_readiness_v1.csv,explicit_NA_readiness,why SpeedupTransferRate remains NA,port_bounded_6,Track C portability,all retained bounded port rows,not_supported_write_NA,missing paired target-engine timing arrays or repeated runtime summaries,Explicit NA row for the table field itself.
Section 8.7,Table 17 full NodeAlignmentCoverage,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_remaining_experiment_gaps_v8.csv,gap_register,remaining gap only,selected_pg_only,Track B observability,selected_pg_frontier,new_experiment_needed,do not claim denominator-wide NodeAlignmentCoverage,Retained gap register explicitly keeps this unresolved.
