row_key,case_id,pool,engine,row_status,failure_classification,witness_missing_for_later_execution,generated_sql_exists,log_stdout_exists,log_stderr_exists,row_metadata_exists,claim_boundary
CONS_0011:mysql,CONS_0011,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0011:spark,CONS_0011,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0012:mysql,CONS_0012,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0012:spark,CONS_0012,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0024:mysql,CONS_0024,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0024:spark,CONS_0024,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0036:mysql,CONS_0036,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0036:spark,CONS_0036,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0037:mysql,CONS_0037,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0037:spark,CONS_0037,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0003:mysql,PORT_0003,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,true,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0003:spark,PORT_0003,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,true,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0004:mysql,PORT_0004,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0004:spark,PORT_0004,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0005:mysql,PORT_0005,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,true,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0005:spark,PORT_0005,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,true,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0008:mysql,PORT_0008,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0008:spark,PORT_0008,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0012:mysql,PORT_0012,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0012:spark,PORT_0012,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0013:mysql,PORT_0013,portability,mysql,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0013:spark,PORT_0013,portability,spark,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0022:mysql,PORT_0022,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0022:spark,PORT_0022,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0024:mysql,PORT_0024,portability,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0024:spark,PORT_0024,portability,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0025:mysql,PORT_0025,portability,mysql,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PORT_0025:spark,PORT_0025,portability,spark,parser_failed,calcite_parser_or_dialect_acceptance_boundary_on_source_sql,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0011:mysql,LONGTAIL_0011,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0011:spark,LONGTAIL_0011,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0012:mysql,LONGTAIL_0012,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0012:spark,LONGTAIL_0012,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0013:mysql,LONGTAIL_0013,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0013:spark,LONGTAIL_0013,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0022:mysql,LONGTAIL_0022,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0022:spark,LONGTAIL_0022,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0023:mysql,LONGTAIL_0023,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0023:spark,LONGTAIL_0023,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0024:mysql,LONGTAIL_0024,longtail,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
LONGTAIL_0024:spark,LONGTAIL_0024,longtail,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
