case_id,pool,source_sql_path,corpus_text_available,near_duplicate_checked,near_duplicate_found,closest_manifest_item_id,closest_manifest_path,token_set_jaccard,token_trigram_jaccard,structural_similarity,combined_similarity,attestation_status,blocker_reason
PERF_0054,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0054/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.111111,0.000000,0.580842,0.230651,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0056,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0056/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.114035,0.000000,0.566966,0.227000,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0062,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0062/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.074074,0.000000,0.769361,0.281145,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0077,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0077/source.sql,no,no,blocked,rule_cluster_func_19,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/19.py,0.085106,0.000000,0.697702,0.260936,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0082,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0082/source.sql,no,no,blocked,rule_cluster_func_19,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/19.py,0.078431,0.000000,0.757688,0.278707,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0005,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0005/source.sql,no,no,blocked,rule_cluster_func_19,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/19.py,0.114286,0.000000,0.582953,0.232413,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0007,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0007/source.sql,no,no,blocked,rule_cluster_func_10,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/10.py,0.087500,0.000000,0.544629,0.210710,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0009,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0009/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.061728,0.000000,0.560509,0.207413,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0010,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0010/source.sql,no,no,blocked,rule_cluster_func_10,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/10.py,0.081395,0.000000,0.489739,0.190378,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0011,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0011/source.sql,no,no,blocked,rule_cluster_func_10,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/10.py,0.068182,0.000000,0.489768,0.185983,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0012,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0012/source.sql,no,no,blocked,rule_cluster_func_16,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,0.094595,0.000000,0.550458,0.215017,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0024,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0024/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.159091,0.000000,0.469153,0.209415,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0036,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0036/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.123457,0.000000,0.573544,0.232334,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
CONS_0037,consistency,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0037/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.135135,0.000000,0.662448,0.265861,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0003,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0003/source.sql,no,no,blocked,rule_cluster_func_16,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,0.068493,0.000000,0.576773,0.215089,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0004,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0004/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.089888,0.000000,0.678903,0.256263,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0005,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0005/source.sql,no,no,blocked,rule_cluster_func_16,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,0.053333,0.000000,0.491696,0.181676,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0008,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0008/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.076923,0.000000,0.591819,0.222914,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0012,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0012/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.088889,0.000000,0.698657,0.262515,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0013,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0013/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.104651,0.000000,0.616248,0.240300,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0022,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0022/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.113636,0.000000,0.643500,0.252379,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0024,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0024/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.073171,0.000000,0.700689,0.257953,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PORT_0025,portability,/home/tianci_gao/code/sql-rewrite-bench/cases/PORT/PORT_0025/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.125000,0.000000,0.531310,0.218770,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0011,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0011/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.121212,0.000000,0.548968,0.223393,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0012,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0012/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.111111,0.003145,0.567241,0.227166,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0013,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0013/source.sql,no,no,blocked,rule_cluster_func_14,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/14.py,0.108696,0.000000,0.573009,0.227235,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0022,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0022/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.115789,0.000000,0.517670,0.211153,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0023,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0023/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.118280,0.000000,0.573412,0.230564,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
LONGTAIL_0024,longtail,/home/tianci_gao/code/sql-rewrite-bench/cases/LONGTAIL/LONGTAIL_0024/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.115789,0.000000,0.600367,0.238719,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
