case_id,pool,normalized_source_hash_available,normalized_source_hash,excluded_from_retrieval,exact_match_checked,exact_match_found_in_manifest,exact_match_found_in_generated_outputs,near_duplicate_checked,generated_outputs_excluded,attestation_status,blocker_reason
PERF_0062,performance,yes,4afede6955d064cf75ef92c5fb7a60c29eeb48082d5c27739b72d7c15a5d5ae4,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0077,performance,yes,234999eb0a4afc8c377629cd3213d5f34a0268b8a3ad8acd2ded485e7eccfbc4,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PERF_0082,performance,yes,31e0c0d0bfff2b6e29d516756a2c2b8fa11e76bb190f2124902eccb40519476f,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0005,consistency,yes,5185373d742546f0752028b822b0a5e7dc8a273379f3f97d2b7c91e3918d1595,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0007,consistency,yes,e36a1e09032f5b435c40a6f798c17cea806b997f98f817f612b259aa691d5201,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0009,consistency,yes,1f6a025adf7bbf16ca449bc1b2f3565a06286f6e117c3e3821a70fe58c617a0f,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0010,consistency,yes,7f95a2bf1c1421d46453bbf4b4a0e544300269b0985d97bc3fa43feae4bfa684,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0011,consistency,yes,893bbd8bc1c726c9e718f56d660c78f4ba34d6fbe8a30366d11a64a546b4a18b,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0012,consistency,yes,0833903696b509ebf279fad04c75c541ef9e26fd98d5a2d901bf341f19c186f2,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0024,consistency,yes,01d3391bd66e9e4c6d9c4d7b4ba8fba67fcb68eec60ebf81c19627addb7a9c3b,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0036,consistency,yes,fd7373d11ca522e22c9924aa16d180c38bb71e19201a13899929c5a51ef3134c,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
CONS_0037,consistency,yes,100f70f9a6a521390fdef24156a0c6029050f91a8fb1b140c8f3cf2bb5bccd78,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0003,portability,yes,618b2b34fab93e5ebc27ea12fe2c8d8004a0c7b2d62258abc6f479991dc0c0b4,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0004,portability,yes,bdd2318dd71af1b09421c8d117332215f7c73eb2f00a86f6154a025077879bcb,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0005,portability,yes,8bcbf38e8681394fd8ce9832c526440d9b79eb7320eb1b013fd29af39e21e437,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0008,portability,yes,674e45bb943011fe00595fb6d875c94ebb4a5dc68f0b07768a503588fe938ea7,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0012,portability,yes,c17c49d0771c515b7be8e7d36094becc796ba93624cd40b9b924c0bd331bb567,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0013,portability,yes,623e79cb7da850707a85cdd675cd2fbdad5396ee376e9662a8cfe4a3d848bd11,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0022,portability,yes,d41e10c6b4e7387b2a6ba3258f333dabf92733415bd0b43190abd75e6dfc818f,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0024,portability,yes,8a61c986b7a367e8e6f6801460fa3bd65e950bc4f7947b2540852085865c106a,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
PORT_0025,portability,yes,d18fb82089576f5398946dbc487594c21e58972a75536bd2a7fa3a22d2182023,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0011,longtail,yes,1890e30631c58bc3792bca787421d2a9fe61cd1e4f6cde379ca9a6c2d4f06745,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0012,longtail,yes,1f61914acb121276ee90f6edac6dc2c86a61edfd6edd015e90bdd285cc1b1011,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0013,longtail,yes,e83b03b68e0a5f4c2b9206049853fd53e9f6396f86079f5f7faa329f0b695d5a,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0022,longtail,yes,ba3ac303b7e4cf1b1d6dedf3f3f495c7da5b2d91235170eeac8e829cda1fa6ff,blocked,yes,no,yes,no,blocked,blocked_partial_check_only,exact normalized hash found in visible generated outputs; manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0023,longtail,yes,1d937f486deaacbf7dffdd7531415cd212839553fb9ceefda9f185c185266cba,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
LONGTAIL_0024,longtail,yes,be176385cc767da5bacbede0322340acb2123972a9326d029775c4140486332c,blocked,yes,no,no,no,blocked,blocked_partial_check_only,manifest text coverage incomplete; generated output coverage incomplete; near-duplicate check not implemented
